ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0050803	GO:0050803	regulation of synapse structure or activity	55/1023	424/25730	0.129716981132075	3.2625786163522	9.55903644601674	1.22868877556504e-14	4.90825080890449e-11	3.95909161214728e-11	Cyfip1/Cbln2/Prickle2/Cux2/Dock4/Srgap3/Magi2/Egln1/Amot/Opcml/Nedd4l/Ntng2/Sipa1l1/Tiam1/Flrt2/Nrxn1/Nefl/Pten/Fcgr2b/Ins1/Elavl2/Clstn2/Lrrtm3/Ntrk3/Adgrb2/Sparc/Myo5b/Arhgap4/Ctnna2/Grin2b/Asap1/Grid1/Kalrn/Cpeb3/Lin7b/Podxl/Negr1/Abl1/Grid2/Ghsr/Lrrn1/Mdga2/Ptpn1/Cacna2d3/Syngap1/Sdc2/Iqsec1/Adgrl2/Dlg5/Slitrk6/Shank2/Epha4/Bhlhb9/Nf1/Dclk1	55
GO:0050807	GO:0050807	regulation of synapse organization	54/1023	415/25730	0.130120481927711	3.27272727272727	9.49777044452601	1.88670029171804e-14	4.90825080890449e-11	3.95909161214728e-11	Cyfip1/Cbln2/Prickle2/Cux2/Dock4/Srgap3/Magi2/Egln1/Amot/Opcml/Nedd4l/Ntng2/Sipa1l1/Tiam1/Flrt2/Nrxn1/Nefl/Pten/Fcgr2b/Ins1/Elavl2/Clstn2/Lrrtm3/Ntrk3/Adgrb2/Sparc/Myo5b/Arhgap4/Ctnna2/Grin2b/Asap1/Grid1/Kalrn/Cpeb3/Lin7b/Podxl/Negr1/Abl1/Grid2/Ghsr/Lrrn1/Mdga2/Ptpn1/Cacna2d3/Sdc2/Iqsec1/Adgrl2/Dlg5/Slitrk6/Shank2/Epha4/Bhlhb9/Nf1/Dclk1	54
GO:0007416	GO:0007416	synapse assembly	41/1023	320/25730	0.128125	3.22253787878788	8.1406876338866	4.42622523318169e-11	7.6765499627481e-08	6.19205614199838e-08	Cbln2/Prickle2/Cux2/Dock4/Srgap3/Magi2/Opcml/Ntng2/Sipa1l1/Flrt2/Nrxn1/Nrxn3/Pten/Elavl2/Clstn2/Lrrtm3/Ntrk3/Adgrb2/Arhgap4/Add2/Cpeb3/Lin7b/Cdh9/Podxl/Negr1/Abl1/Grid2/Ghsr/Lrrn1/Mdga2/Ptpn1/Kirrel3/Sdc2/Iqsec1/Adgrl2/Dlg5/Slitrk6/Shank2/Bhlhb9/Gap43/Dclk1	41
GO:0099173	GO:0099173	postsynapse organization	41/1023	328/25730	0.125	3.14393939393939	7.95160380856274	9.6138742310375e-11	1.2505246906022e-07	1.00869780418807e-07	Grip2/Prickle2/Cux2/Stk38l/Dock4/Srgap3/Magi2/Ntng2/Sipa1l1/Tiam1/Flrt2/Nrxn1/Nrxn3/Nefl/Cit/Pten/Dlg2/Fcgr2b/Ins1/Ntrk3/Myo5b/Insr/Gphn/Grin2b/Asap1/Ctnnd2/Grid1/Kalrn/Cpeb3/Abl1/Grid2/Ghsr/Ptpn1/Syngap1/Dlg5/Shank2/Epha4/Bhlhb9/Gap43/Nf1/Dclk1	41
GO:1901888	GO:1901888	regulation of cell junction assembly	40/1023	325/25730	0.123076923076923	3.0955710955711	7.736129715032	2.60488468738878e-10	2.31381740470303e-07	1.86637061463548e-07	Cbln2/Prickle2/Cux2/Macf1/Dock4/Srgap3/Opcml/Nedd4l/Ntng2/Sipa1l1/Flrt2/Nrxn1/Irx3/Pten/Elavl2/Wnt4/Clstn2/Lrrtm3/Ntrk3/Adgrb2/Arhgap4/Cpeb3/Lin7b/Podxl/Negr1/Abl1/Grid2/Ghsr/Lrrn1/Mdga2/Ptpn1/Sdc2/Coro1c/Iqsec1/Adgrl2/Dlg5/Slitrk6/Kdr/Bhlhb9/Dclk1	40
GO:0051963	GO:0051963	regulation of synapse assembly	32/1023	221/25730	0.144796380090498	3.6418483477307	8.02595215565682	2.66824993815456e-10	2.31381740470303e-07	1.86637061463548e-07	Cbln2/Prickle2/Cux2/Dock4/Srgap3/Opcml/Ntng2/Sipa1l1/Flrt2/Nrxn1/Elavl2/Clstn2/Lrrtm3/Ntrk3/Adgrb2/Arhgap4/Cpeb3/Lin7b/Podxl/Negr1/Grid2/Ghsr/Lrrn1/Mdga2/Ptpn1/Sdc2/Iqsec1/Adgrl2/Dlg5/Slitrk6/Bhlhb9/Dclk1	32
GO:0060560	GO:0060560	developmental growth involved in morphogenesis	36/1023	292/25730	0.123287671232877	3.10087173100872	7.34663974956105	1.94368005572171e-09	1.44470961856001e-06	1.16533118528759e-06	Cyfip1/Spry2/Macf1/Sema6d/Smurf1/Fxn/Nedd4l/Pou4f3/Wnt7b/Tiam1/Cit/Pten/Cdh4/Syt1/Ntrk3/Dnm2/S1pr1/Yap1/Myo5b/Arhgap4/Fgf1/Ctnnd2/Sin3a/Abl1/Cd2ap/Sema5a/Ndn/Cxcl12/Prkn/Rgma/Csf1/Postn/Nkd1/Ext1/Rnf157/Dclk1	36
GO:0032535	GO:0032535	regulation of cellular component size	43/1023	406/25730	0.105911330049261	2.66383042245111	6.87614756122321	6.05412764734505e-09	3.93745326864204e-06	3.17602722762693e-06	Cyfip1/Capg/Trp73/Cracd/Kank1/Macf1/Sema6d/Add1/Smurf1/Pex11b/Gprc5b/Atp13a2/Fxn/Opcml/Wnt7b/Kcnma1/Snx9/Capzb/Nefl/Cit/Pten/Prkce/Cdh4/Ntrk3/Dnm2/Myo5b/Arhgap4/Ctnnd2/Add2/Prkd1/Sin3a/Ano6/Abl1/Sema5a/Washc5/Pex11g/Cxcl12/Hsp90ab1/Daam2/Rgma/Prr16/Vasp/Kirrel1	43
GO:0048638	GO:0048638	regulation of developmental growth	40/1023	399/25730	0.100250626566416	2.5214551530341	6.23244850066918	9.19251032723193e-08	5.31429235917641e-05	4.28661271048815e-05	Mtm1/Cyfip1/Trp73/Macf1/Sema6d/Celf1/Tbx20/Smurf1/Fxn/Nedd4l/Cacna1c/Cit/Pten/Tcf7l2/Cdh4/Syt1/Ntrk3/Dnm2/Yap1/Myo5b/Insr/Arhgap4/Ctnnd2/Sin3a/Lin7b/Rai1/Abl1/Ghsr/Ghr/Stat3/Sema5a/Atp8a2/Cxcl12/Prox1/Prkn/Rgma/Dusp10/Csf1/Rnf157/Bbs2	40
GO:0010721	GO:0010721	negative regulation of cell development	34/1023	313/25730	0.108626198083067	2.73211346693775	6.27372712695828	1.27116092178191e-07	6.61385027603129e-05	5.33486167909946e-05	Trib1/Calca/Sema6d/Hspa9/Kdm4a/Opcml/Wnt7b/Tnfsf18/Bmp7/Shb/Irf1/Cit/Cbfb/Pten/Pglyrp3/Nrarp/Ntrk3/Casz1/Irgm1/Tmem131l/Arhgap4/Zbtb46/Negr1/Sema5a/Rnf10/Nf2/Prox1/Dpysl5/Daam2/Rgma/Syngap1/Dusp10/Rara/Nf1	34
