ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0050803	GO:0050803	regulation of synapse structure or activity	50/976	424/25730	0.117924528301887	3.10880954222085	8.69405140161344	1.33610574367097e-12	5.5765117404359e-09	4.40787233064289e-09	Cyfip1/Cbln2/Prickle2/Cux2/Dock4/Magi2/Egln1/Amot/Opcml/Nedd4l/Ntng2/Tiam1/Sipa1l1/Hspa8/Flrt2/Nefl/Pten/Fcgr2b/Elavl2/Clstn2/Ntrk3/Lrrtm3/Adgrb2/Sparc/Myo5b/Arhgap4/Asap1/Grid1/Lin7b/Ctnna2/Cpeb3/Podxl/Grin2b/Grid2/Abl1/Ghsr/Lrrn1/Negr1/Ptpn1/Mdga2/Syngap1/Sdc2/Iqsec1/Adgrl2/Slitrk6/Dlg5/Shank2/Epha4/Bhlhb9/Nf1	50
GO:0050807	GO:0050807	regulation of synapse organization	49/976	415/25730	0.118072289156627	3.11270491803279	8.61564100952591	2.14522475108132e-12	5.5765117404359e-09	4.40787233064289e-09	Cyfip1/Cbln2/Prickle2/Cux2/Dock4/Magi2/Egln1/Amot/Opcml/Nedd4l/Ntng2/Tiam1/Sipa1l1/Hspa8/Flrt2/Nefl/Pten/Fcgr2b/Elavl2/Clstn2/Ntrk3/Lrrtm3/Adgrb2/Sparc/Myo5b/Arhgap4/Asap1/Grid1/Lin7b/Ctnna2/Cpeb3/Podxl/Grin2b/Grid2/Abl1/Ghsr/Lrrn1/Negr1/Ptpn1/Mdga2/Sdc2/Iqsec1/Adgrl2/Slitrk6/Dlg5/Shank2/Epha4/Bhlhb9/Nf1	49
GO:0060560	GO:0060560	developmental growth involved in morphogenesis	36/976	292/25730	0.123287671232877	3.25019649674377	7.6786355895468	5.55256433084755e-10	9.62259398535881e-07	7.60603899916802e-07	Trim28/Cyfip1/Spry2/Macf1/Sema6d/Smurf1/Pou4f3/Nedd4l/Tiam1/Wnt7b/Cit/Pten/Syt1/Cdh4/Ntrk3/S1pr1/Myo5b/Yap1/Arhgap4/Sin3a/Fxn/Rarg/Fgf1/Abl1/Cd2ap/Sema5a/Rnf157/Ndn/Dnm2/Csf1/Rgma/Prkn/Tbx2/Postn/Nkd1/Ext1	36
GO:0007416	GO:0007416	synapse assembly	37/976	320/25730	0.115625	3.04818775614754	7.32075868335241	1.94269245208749e-09	2.52501451460072e-06	1.99586087709199e-06	Cbln2/Prickle2/Cux2/Dock4/Magi2/Opcml/Ntng2/Sipa1l1/Flrt2/Nrxn3/Pten/Elavl2/Clstn2/Ntrk3/Lrrtm3/Adgrb2/Arhgap4/Lin7b/Cpeb3/Podxl/Cdh9/Grid2/Abl1/Ghsr/Lrrn1/Negr1/Ptpn1/Mdga2/Kirrel3/Sdc2/Iqsec1/Adgrl2/Slitrk6/Dlg5/Shank2/Gap43/Bhlhb9	37
GO:1901888	GO:1901888	regulation of cell junction assembly	37/976	325/25730	0.113846153846154	3.00129255989912	7.20951966390042	2.97744432947984e-09	3.09594661379313e-06	2.44714582363985e-06	Cbln2/Prickle2/Cux2/Macf1/Dock4/Opcml/Nedd4l/Ntng2/Sipa1l1/Flrt2/Irx3/Pten/Elavl2/Wnt4/Clstn2/Ntrk3/Lrrtm3/Adgrb2/Arhgap4/Lin7b/Cpeb3/Podxl/Grid2/Abl1/Ghsr/Lrrn1/Negr1/Ptpn1/Mdga2/Sdc2/Iqsec1/Coro1c/Adgrl2/Slitrk6/Dlg5/Kdr/Bhlhb9	37
GO:0010721	GO:0010721	negative regulation of cell development	36/976	313/25730	0.115015974440895	3.0321321950453	7.18250024943897	3.69723694873877e-09	3.20365581608215e-06	2.53228299085547e-06	Trib1/Calca/Sema6d/Hspa9/Kdm4a/Opcml/Wnt7b/Tnfsf18/Bmp7/Shb/Irf1/Cit/Cbfb/Pten/Pglyrp3/Ntrk3/Casz1/Nrarp/Irgm1/Tmem131l/Arhgap4/Zbtb46/Sema5a/Rnf10/Fbxw7/Negr1/Nf2/Prox1/Dpysl5/Dusp10/Rgma/Syngap1/Daam2/Igdcc4/Rara/Nf1	36
GO:0051963	GO:0051963	regulation of synapse assembly	29/976	221/25730	0.131221719457014	3.45935946888213	7.29096645996189	6.32350427074634e-09	4.6965569576586e-06	3.71232491323213e-06	Cbln2/Prickle2/Cux2/Dock4/Opcml/Ntng2/Sipa1l1/Flrt2/Elavl2/Clstn2/Ntrk3/Lrrtm3/Adgrb2/Arhgap4/Lin7b/Cpeb3/Podxl/Grid2/Ghsr/Lrrn1/Negr1/Ptpn1/Mdga2/Sdc2/Iqsec1/Adgrl2/Slitrk6/Dlg5/Bhlhb9	29
GO:0099173	GO:0099173	postsynapse organization	36/976	328/25730	0.109756097560976	2.89346761295482	6.85290191912306	1.27871875613857e-08	8.31007351645551e-06	6.56857634732232e-06	Grip2/Prickle2/Cux2/Stk38l/Dock4/Magi2/Ntng2/Tiam1/Sipa1l1/Hspa8/Flrt2/Nrxn3/Nefl/Cit/Pten/Dlg2/Fcgr2b/Ntrk3/Insr/Myo5b/Gphn/Asap1/Grid1/Cpeb3/Grin2b/Grid2/Abl1/Ghsr/Ptpn1/Syngap1/Dlg5/Shank2/Epha4/Gap43/Bhlhb9/Nf1	36
GO:0032535	GO:0032535	regulation of cellular component size	38/976	406/25730	0.0935960591133005	2.46744528789469	5.91796580494123	3.39464594570639e-07	0.000196097380796972	0.000155002313123248	Cyfip1/Capg/Cracd/Kank1/Macf1/Sema6d/Add1/Smurf1/Atp13a2/Opcml/Snx9/Pex11b/Wnt7b/Kcnma1/Gprc5b/Capzb/Nefl/Cit/Pten/Prkce/Cdh4/Ntrk3/Myo5b/Arhgap4/Sin3a/Prkd1/Fxn/Abl1/Sema5a/Pex11g/Washc5/Hsp90ab1/Dnm2/Rgma/Daam2/Vasp/Kirrel1/Prr16	38
GO:0050768	GO:0050768	negative regulation of neurogenesis	22/976	167/25730	0.131736526946108	3.47293118680671	6.36616698749158	3.8968150814781e-07	0.000202595416086046	0.000160138590295689	Sema6d/Kdm4a/Opcml/Wnt7b/Bmp7/Cit/Pten/Ntrk3/Casz1/Arhgap4/Sema5a/Rnf10/Negr1/Nf2/Prox1/Dpysl5/Dusp10/Rgma/Syngap1/Daam2/Igdcc4/Nf1	22
