.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
201fDMSOw1_S00_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
201fDMSOw1_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
201fDMSOw1_S00_L003_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
201fDMSOw1_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
202fDMSOw1_S00_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
202fDMSOw1_S00_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
202fDMSOw1_S00_L003_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
202fDMSOw1_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
203fDMSOw1_S00_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
203fDMSOw1_S00_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
203fDMSOw1_S00_L003_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
203fDMSOw1_S00_L004_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
204fTBTw1_S00_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
204fTBTw1_S00_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
204fTBTw1_S00_L003_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
204fTBTw1_S00_L004_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
205fTBTw1_S00_L001_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
205fTBTw1_S00_L002_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
205fTBTw1_S00_L003_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
205fTBTw1_S00_L004_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
206fTBTw1_S00_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
206fTBTw1_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
206fTBTw1_S00_L003_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	1
206fTBTw1_S00_L004_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
213mDMSOw1_S00_L001_R1_001	1	1	1	1	0.25	1	1	0.5	0.25	1	1
213mDMSOw1_S00_L002_R1_001	1	1	1	1	0.25	1	1	0.5	0.25	1	1
213mDMSOw1_S00_L003_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
213mDMSOw1_S00_L004_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
214mDMSOw1_S00_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
214mDMSOw1_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
214mDMSOw1_S00_L003_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
214mDMSOw1_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
215mDMSOw1_S00_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
215mDMSOw1_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
215mDMSOw1_S00_L003_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
215mDMSOw1_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
217mTBTw1_S00_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
217mTBTw1_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
217mTBTw1_S00_L003_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
217mTBTw1_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
218mTBTw1_S00_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
218mTBTw1_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
218mTBTw1_S00_L003_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
218mTBTw1_S00_L004_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
225fDMSOw5_S00_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
225fDMSOw5_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
225fDMSOw5_S00_L003_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	1
225fDMSOw5_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
226fDMSOw5_S00_L001_R1_001	1	1	1	1	0.25	1	1	0.5	1	1	1
226fDMSOw5_S00_L002_R1_001	1	1	1	1	0.25	1	1	0.5	1	1	1
226fDMSOw5_S00_L003_R1_001	1	1	1	1	0.25	1	1	0.5	1	1	1
226fDMSOw5_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	1	1	1
227fDMSOw5_S00_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
227fDMSOw5_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
227fDMSOw5_S00_L003_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
227fDMSOw5_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
228fTBTw5_S00_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
228fTBTw5_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
228fTBTw5_S00_L003_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	1
228fTBTw5_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
230fTBTw5_S00_L001_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
230fTBTw5_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
230fTBTw5_S00_L003_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
230fTBTw5_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
238mDMSOw5_S00_L001_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
238mDMSOw5_S00_L002_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
238mDMSOw5_S00_L003_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
238mDMSOw5_S00_L004_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
239mDMSOw5_S00_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
239mDMSOw5_S00_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
239mDMSOw5_S00_L003_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
239mDMSOw5_S00_L004_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
240mTBTw5_S00_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
240mTBTw5_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
240mTBTw5_S00_L003_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
240mTBTw5_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
241mTBTw5_S00_L001_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
241mTBTw5_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
241mTBTw5_S00_L003_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
241mTBTw5_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
242mTBTw5_S00_L001_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
242mTBTw5_S00_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
242mTBTw5_S00_L003_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
242mTBTw5_S00_L004_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
297fTBTw1_S00_L001_R1_001	1	1	1	1	0.25	1	1	0.5	1	1	1
297fTBTw1_S00_L002_R1_001	1	1	1	1	0.25	1	1	0.5	1	1	1
297fTBTw1_S00_L003_R1_001	1	1	1	1	0.25	1	1	0.5	1	1	1
297fTBTw1_S00_L004_R1_001	1	1	1	1	0.25	1	1	0.5	1	1	1
298mTBTw1_S00_L001_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
298mTBTw1_S00_L002_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
298mTBTw1_S00_L003_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
298mTBTw1_S00_L004_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
299mDMSOw5_S00_L001_R1_001	1	1	1	1	0.25	1	1	0.5	0.5	1	1
