Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
201fDMSOw1_S00_L001_R1_001	(1, 0.001998421734249878)	(2, 0.00016247331172763234)	(3, 0.0)	(4, 3.2494662345526466e-05)	(5, 0.0)	(6, 0.028546560870545003)	(7, 0.0)	(8, 0.0008773558833292147)	(9, 0.0)	(10, 0.0)	(11, 0.00012997864938210586)	(12, 0.0007961192274653985)	(13, 0.00012997864938210586)	(14, 0.001592238454930797)	(15, 0.0004711726040101338)	(16, 0.0)	(17, 0.0010723238574023735)	(18, 0.00019496797407315882)	(19, 0.0)	(20, 0.0)	(21, 0.00016247550275607197)	(22, 0.00021123249938742575)	(23, 0.00021124519945284244)	(24, 0.0)	(25, 0.0002112802526911822)	(26, 0.00019506146630630144)	(27, 0.001024721987231964)	(28, 0.000683817571148369)	(29, 0.00032602026411553635)	(30, 0.0010281457342723077)	(31, 0.0008004806804804583)	(32, 0.00029452608543907214)	(33, 0.0006235864689613117)	(34, 0.0011235370267410074)	(35, 0.0006992353861052939)	(36, 0.00021874290137219107)	(37, 0.0003406438918973422)	(38, 0.00013809963508897672)	(39, 0.00022788682649363162)	(40, 0.00032080643609001114)	(41, 0.0006167432365487847)	(42, 0.000647004627377095)	(43, 0.00030161459950388167)	(44, 0.0002503425841979139)	(45, 0.0004132345243670625)	(46, 0.0003814696499734879)	(47, 0.0004707195070461594)	(48, 0.00047959290486086173)	(49, 0.0004677856240547275)	(50, 0.0012156600458781417)	(51, 0.0008201583393256614)	(52, 0.0009729444512072883)	(53, 0.0003463856047684828)	(54, 0.0006602850120254408)	(55, 0.0013976994830439773)	(56, 0.0016946109652135664)	(57, 0.0012745927676107484)	(58, 0.000457779504906379)	(59, 0.001320334681541747)	(60, 0.0006856427980344203)	(61, 0.0017196433244789616)	(62, 0.00038331999471018403)	(63, 0.0011720767777265227)	(64, 0.000938498220834888)	(65, 0.00046344464501298804)	(66, 0.0017691657410489796)	(67, 0.0005995043897210177)	(68, 0.0006399851767242877)	(69, 0.00021674403396564795)	(70, 0.00044142760208959215)	(71, 0.000999759735160421)	(72, 0.002649517469207744)	(73, 0.002129324134163574)	(74, 0.0012962854939171805)	(75, 0.0011818197445550341)
201fDMSOw1_S00_L002_R1_001	(1, 0.0032796134875108635)	(2, 0.00021752538437572056)	(3, 3.3465443750110854e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 8.366360937527713e-05)	(11, 0.0006860415968772725)	(12, 0.0003681198812512194)	(13, 0.001405548637504656)	(14, 0.000552179821876829)	(15, 0.0005019816562516628)	(16, 0.0004517834906264965)	(17, 0.0003681198812512194)	(18, 0.00021752538437572056)	(19, 0.0)	(20, 0.00010039633125033255)	(21, 0.0002175288422328566)	(22, 0.00030121464806833555)	(23, 0.0005522590155029146)	(24, 0.00031798774676058354)	(25, 0.0)	(26, 0.00018414307180106656)	(27, 0.00041877014912572517)	(28, 0.0001509016625842178)	(29, 0.0005875416986737002)	(30, 0.0003529178660972477)	(31, 0.00025233825034040434)	(32, 0.00032013803003905683)	(33, 0.0004393264787137873)	(34, 0.00027215434144857887)	(35, 0.00030843645677794255)	(36, 0.0002943577166568028)	(37, 3.504723666557787e-05)	(38, 0.00021309621880293553)	(39, 0.0012979132799242018)	(40, 7.328630062846666e-05)	(41, 0.000838939155844507)	(42, 0.0004558638334729417)	(43, 0.000271133553222645)	(44, 0.0006328699604515606)	(45, 0.0005858821395041942)	(46, 0.0002060738622301437)	(47, 0.0003780411838065639)	(48, 0.0004492536933467026)	(49, 0.0006979840475745927)	(50, 0.00015585982857645425)	(51, 0.00034091590922727546)	(52, 0.0004175772169870412)	(53, 0.0009706577271457454)	(54, 0.00012084206618664975)	(55, 9.876955359371785e-05)	(56, 0.0005535138442618352)	(57, 0.0009727980077096803)	(58, 0.0006771935536382874)	(59, 0.00039766796898507977)	(60, 0.0004050584782925111)	(61, 0.0006051468842774862)	(62, 0.00047641413728125584)	(63, 0.00025697560273627625)	(64, 0.00029091272996287665)	(65, 0.0008888064603193838)	(66, 0.0004523027183694909)	(67, 6.129922481000305e-05)	(68, 0.0004049942646581443)	(69, 0.0008544503890280975)	(70, 0.0005800095830472221)	(71, 0.0017792755910078046)	(72, 0.0007195440146786978)	(73, 0.0006002067712326896)	(74, 0.0014660960557759692)	(75, 0.001208124748764967)
201fDMSOw1_S00_L003_R1_001	(1, 0.025673548197430916)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.02919867269086055)	(7, 0.0)	(8, 0.004988383717117406)	(9, 4.9883837171174055e-05)	(10, 0.0)	(11, 0.0003491868601982184)	(12, 0.0011639562006607281)	(13, 9.976767434234811e-05)	(14, 0.001380119495069149)	(15, 0.00039907069736939244)	(16, 0.0)	(17, 0.0007150016661201616)	(18, 0.0)	(19, 1.6627945723724686e-05)	(20, 0.0)	(21, 0.00014965390041297825)	(22, 0.00013303385196026212)	(23, 9.978172747115684e-05)	(24, 3.326299872253453e-05)	(25, 6.653189522424076e-05)	(26, 0.00011645051510221777)	(27, 0.0008989028890239463)	(28, 0.0008997552665674937)	(29, 0.0003169485924396417)	(30, 0.0007515008724925129)	(31, 0.000551646573079547)	(32, 0.0001506888994185083)	(33, 0.00021828965021602277)	(34, 0.0006085531125716761)	(35, 0.0006300956859902823)	(36, 0.00024091496751347703)	(37, 0.0003134749833901797)	(38, 1.764878321346574e-05)	(39, 0.00016126876227658452)	(40, 0.0002003544452276482)	(41, 0.00027803738231141004)	(42, 0.0006610368987019501)	(43, 0.00015405196134143055)	(44, 7.868055850607651e-05)	(45, 0.0007435528442001572)	(46, 0.0003485717273471949)	(47, 0.0005015763080430896)	(48, 0.000489750897787923)	(49, 0.0005428700104274472)	(50, 0.0010641517214316832)	(51, 0.0010413516200714638)	(52, 0.0012711610762158136)	(53, 0.0001415654925617951)	(54, 0.0006264809648577912)	(55, 0.0011327853443187244)	(56, 0.001254954245623159)	(57, 0.0011238635568340354)	(58, 0.0004678593614759404)	(59, 0.0017466231951560316)	(60, 0.0005392799372493865)	(61, 0.0020333759426346175)	(62, 0.0008682862913559859)	(63, 0.0009422005636643493)	(64, 0.0007856538444079487)	(65, 0.0006226155307589861)	(66, 0.0016905497063877423)	(67, 0.0005217495921145836)	(68, 0.0004369664912246204)	(69, 9.514316350384362e-05)	(70, 0.0003553964528203132)	(71, 0.0008594686169992976)	(72, 0.002442759437394656)	(73, 0.0021498498122464495)	(74, 0.0012388816329603506)	(75, 0.001442132225775784)
201fDMSOw1_S00_L004_R1_001	(1, 0.030170486483174573)	(2, 0.00017210773806716816)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 3.442154761343363e-05)	(9, 0.00046469089278135397)	(10, 0.0003097939285209027)	(11, 0.0010498572022097257)	(12, 0.0005679555356216549)	(13, 0.0007228524998821062)	(14, 0.0002925831547141858)	(15, 0.00015489696426045134)	(16, 0.0003442154761343363)	(17, 0.0002581616071007522)	(18, 0.00012047541664701771)	(19, 0.0)	(20, 5.163232142015045e-05)	(21, 0.00017210998929820086)	(22, 8.606003065802533e-05)	(23, 0.0005852405433304352)	(24, 0.00020656878404834536)	(25, 0.0)	(26, 0.00012052590618263463)	(27, 0.00032733314451379315)	(28, 0.00010345965642427563)	(29, 0.0002589304240141051)	(30, 6.911869857784822e-05)	(31, 3.459136955706962e-05)	(32, 0.00017321584218235332)	(33, 0.0003473573056188518)	(34, 0.0003145630640399719)	(35, 0.000246345118249176)	(36, 0.0001954456542925285)	(37, 0.0)	(38, 0.0002910453001095422)	(39, 0.0010701665788084506)	(40, 0.0)	(41, 0.0007430368870183835)	(42, 0.0006594197726630938)	(43, 0.00019759694451892753)	(44, 0.00028230143421227214)	(45, 0.0007202929575516954)	(46, 0.00027273932666115036)	(47, 0.0004273451311928185)	(48, 0.0004568130070760334)	(49, 0.0007536824035552529)	(50, 0.00020355018665552116)	(51, 0.00018465997289653248)	(52, 0.0005180915203960856)	(53, 0.0009370636797241285)	(54, 0.00031879849262263503)	(55, 7.512647542137188e-05)	(56, 0.00048471737150525154)	(57, 0.0012977591592597064)	(58, 0.0004488775947765434)	(59, 0.00013438970811361736)	(60, 0.00032847536516880074)	(61, 0.0007249870408566446)	(62, 0.0006535141730175932)	(63, 0.0004053476942230716)	(64, 0.0002360396558423798)	(65, 0.0010217835231396402)	(66, 0.0006118121969044139)	(67, 3.1096877033930115e-05)	(68, 0.0004741466782232017)	(69, 0.0008671703748906)	(70, 0.0010139058827146382)	(71, 0.0015053867756789712)	(72, 0.0009747053517937886)	(73, 0.0008010659517598083)	(74, 0.002986922578485004)	(75, 0.0022386489305974058)
202fDMSOw1_S00_L001_R1_001	(1, 0.002547261378158069)	(2, 8.151236410105821e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.030465246082770507)	(7, 0.0)	(8, 0.000733611276909524)	(9, 0.0)	(10, 0.0)	(11, 0.0001222685461515873)	(12, 0.0006928550948589948)	(13, 6.113427307579365e-05)	(14, 0.001732137737147487)	(15, 0.0004483180025558202)	(16, 0.0)	(17, 0.0012430635525411378)	(18, 0.00030567136537896833)	(19, 0.0)	(20, 0.0)	(21, 0.00014264826504047643)	(22, 0.0002037909186690823)	(23, 0.00022417891923343038)	(24, 2.0380836307237032e-05)	(25, 0.00010191026719445315)	(26, 0.0002446078742128468)	(27, 0.0009379434203982712)	(28, 0.0007955692910253664)	(29, 0.0003673874263694366)	(30, 0.0010619355531734616)	(31, 0.0008990552972133781)	(32, 0.0003067692312097199)	(33, 0.0005735450697860963)	(34, 0.0010073518180336123)	(35, 0.0003715267665426937)	(36, 0.00033209186325121255)	(37, 0.00043872788968124537)	(38, 0.00016838556758880919)	(39, 0.0001699344711437461)	(40, 0.00021465381491346015)	(41, 0.0005211768259592965)	(42, 0.0006596213245899793)	(43, 0.0002895728599841715)	(44, 0.0002484883437506424)	(45, 0.0005271591234398095)	(46, 0.00032530171152848355)	(47, 0.000706278367376343)	(48, 0.00040551074794310636)	(49, 0.00041125931230185465)	(50, 0.0008600799776084322)	(51, 0.0005245036883848658)	(52, 0.0007868471643297305)	(53, 0.00041246234347698535)	(54, 0.0003665946395484392)	(55, 0.0012241748994646364)	(56, 0.0018359651533813887)	(57, 0.0009850243465184315)	(58, 0.00019414519120389157)	(59, 0.0010968603637695209)	(60, 0.000599493171344569)	(61, 0.0014204846055705608)	(62, 0.00026496671870809293)	(63, 0.0007772095844290245)	(64, 0.0006677678766013529)	(65, 0.0004313096285561479)	(66, 0.0017192399833952678)	(67, 0.0007921268923911459)	(68, 0.0005139280937507629)	(69, 0.0001301868897896375)	(70, 0.00036353301210234444)	(71, 0.000673991380324237)	(72, 0.0022711343023040483)	(73, 0.0015246476444003313)	(74, 0.001147855781486521)	(75, 0.0007733866601849498)
202fDMSOw1_S00_L002_R1_001	(1, 0.0028959276018099547)	(2, 0.0002895927601809955)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.1370394311570786e-05)	(11, 0.000951519069166128)	(12, 0.0006205559146735617)	(13, 0.0016755009696186166)	(14, 0.0006205559146735617)	(15, 0.0006205559146735617)	(16, 0.0004964447317388494)	(17, 0.00016548157724628315)	(18, 0.0002068519715578539)	(19, 0.0)	(20, 8.274078862314157e-05)	(21, 0.00012411205581070925)	(22, 0.0004550917527031416)	(23, 0.0008274696763393733)	(24, 0.0002896260699873123)	(25, 0.0)	(26, 0.0001862155780503974)	(27, 0.00039323902081828073)	(28, 0.00020705489874290757)	(29, 0.0007043579663196738)	(30, 0.00037310153502262655)	(31, 0.00033181754929097846)	(32, 0.0003321086136312735)	(33, 0.0001871040799707785)	(34, 0.00037553756637887274)	(35, 0.00029323707337671287)	(36, 0.00027381235470831926)	(37, 2.1197654776266173e-05)	(38, 0.0001494822894451196)	(39, 0.0013144228821630659)	(40, 4.3540590170929474e-05)	(41, 0.0007927240265624205)	(42, 0.00042354575564798266)	(43, 0.00029354583040728355)	(44, 0.0005266220014887375)	(45, 0.0010451840011594575)	(46, 0.00018835513230064494)	(47, 0.0005008931401730371)	(48, 0.00031411664359117474)	(49, 0.0004899945561604811)	(50, 0.0002239511249065004)	(51, 0.0002529046094394116)	(52, 0.0004111256775222689)	(53, 0.000861252935110855)	(54, 0.00021206063025479616)	(55, 0.00013467345995511604)	(56, 0.000628479007025029)	(57, 0.001052284995329793)	(58, 0.0006455198118450079)	(59, 0.00048371942679817007)	(60, 0.00046206076792189326)	(61, 0.0005276882417867524)	(62, 0.0003869674137717535)	(63, 0.00036270004796708135)	(64, 6.136465794572602e-05)	(65, 0.0008717502784152452)	(66, 0.0003473966881726271)	(67, 3.20102022916744e-05)	(68, 0.00045424945498176997)	(69, 0.0010189632344917083)	(70, 0.0007007612603157897)	(71, 0.001531080943145861)	(72, 0.0007406519147615453)	(73, 0.0007312214631202683)	(74, 0.0016886789994914663)	(75, 0.001223882622980733)
202fDMSOw1_S00_L003_R1_001	(1, 0.026259949913646358)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.028639693207633224)	(7, 0.0)	(8, 0.005483756286143645)	(9, 4.138683989542374e-05)	(10, 0.0)	(11, 0.0003517881391111017)	(12, 0.001096751257228729)	(13, 6.20802598431356e-05)	(14, 0.0015106196561829662)	(15, 0.00016554735958169495)	(16, 0.0)	(17, 0.0009105104776993221)	(18, 4.138683989542374e-05)	(19, 0.0)	(20, 0.0)	(21, 0.0003310983504887115)	(22, 4.13885528368335e-05)	(23, 8.27795724848979e-05)	(24, 4.1391319536640736e-05)	(25, 0.00010348403851841489)	(26, 4.1397368162319075e-05)	(27, 0.0008902645431441866)	(28, 0.0009320067908085905)	(29, 0.00029008636078165016)	(30, 0.0005182709155483762)	(31, 0.0006844433898946289)	(32, 0.00010378575133722752)	(33, 0.0003533722416958043)	(34, 0.0006881790032832395)	(35, 0.0004813500907344921)	(36, 0.0002734541060921999)	(37, 0.0005078177484418988)	(38, 6.3916005846184e-05)	(39, 0.00015041859345722096)	(40, 0.0004340218438853809)	(41, 0.0003290921400949628)	(42, 0.0007770784072112876)	(43, 0.00022479553160434097)	(44, 0.000318984063100516)	(45, 0.0008548845097237338)	(46, 0.000585347122550615)	(47, 0.0007825637214367206)	(48, 0.0003843023075672247)	(49, 0.0007549351449828594)	(50, 0.001310588441846347)	(51, 0.0010301168479127949)	(52, 0.001455089430562239)	(53, 0.0003888877654353443)	(54, 0.0005265800495143221)	(55, 0.0013106068751761962)	(56, 0.0015193857340532327)	(57, 0.0009898997231580441)	(58, 0.00033440817694874273)	(59, 0.0016388222293237853)	(60, 0.0006882809838288384)	(61, 0.0018635708871791274)	(62, 0.000473089207475046)	(63, 0.0007506161808228376)	(64, 0.0010975462524283211)	(65, 0.0004641721026377353)	(66, 0.0019151500614260834)	(67, 0.0005092048320992542)	(68, 0.0007097978560233123)	(69, 0.0001961229115361458)	(70, 0.0004979263029237568)	(71, 0.0009819178141561398)	(72, 0.002352674305952301)	(73, 0.002069350051637948)	(74, 0.000963088663868573)	(75, 0.002001763776305122)
202fDMSOw1_S00_L004_R1_001	(1, 0.03355217352741702)	(2, 0.0002458034690653262)	(3, 4.0967244844221025e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 4.0967244844221025e-05)	(9, 0.0005120905605527628)	(10, 0.0002662870914874367)	(11, 0.0010446647435276362)	(12, 0.0005530578053969838)	(13, 0.000634992295085426)	(14, 0.00018435260179899463)	(15, 0.0002662870914874367)	(16, 0.00038918882602009976)	(17, 0.0002458034690653262)	(18, 0.0001229017345326631)	(19, 0.0)	(20, 4.0967244844221025e-05)	(21, 8.193521137031316e-05)	(22, 0.000307267490689795)	(23, 0.0004711577698422974)	(24, 0.00030728681516267866)	(25, 0.0)	(26, 0.00014341843578429293)	(27, 0.0006967670011148272)	(28, 0.00014350511236962816)	(29, 0.00032816043107154226)	(30, 0.00020519605662426224)	(31, 0.0003079369517567495)	(32, 0.00014381725511208708)	(33, 0.00024688980567303396)	(34, 0.000515950187279599)	(35, 0.00047627577195501886)	(36, 0.0001664655901059512)	(37, 0.0)	(38, 0.00035807347204257114)	(39, 0.0009767557609479457)	(40, 2.1435363376567033e-05)	(41, 0.0008664606512058317)	(42, 0.0008983042863355867)	(43, 0.00015522086487735446)	(44, 0.0004043894225206716)	(45, 0.0006831005478466393)	(46, 0.0002306368274889577)	(47, 0.00030352620400089564)	(48, 0.00044916418818655634)	(49, 0.0007187271055469921)	(50, 0.00041336823133836963)	(51, 0.0004445660689393543)	(52, 0.0003511638447725374)	(53, 0.0014768182815844324)	(54, 0.00020675649202462677)	(55, 0.0003411791413570794)	(56, 0.0005588670646864676)	(57, 0.001671489723303748)	(58, 0.00021852084333749068)	(59, 0.0002768667324132867)	(60, 0.00028089643039625216)	(61, 0.0011120146626261566)	(62, 0.0006078441418152484)	(63, 0.0004407435049098827)	(64, 0.0002385950805869797)	(65, 0.0012106237072808724)	(66, 0.0005525754004483229)	(67, 3.111016950998061e-05)	(68, 0.00040990752801481475)	(69, 0.0006388078312729651)	(70, 0.0007458635381042225)	(71, 0.0015207923724989165)	(72, 0.0009597807312363724)	(73, 0.0007478388392344673)	(74, 0.00272182523723288)	(75, 0.001839960256858452)
203fDMSOw1_S00_L001_R1_001	(1, 0.0018771487220136855)	(2, 0.00017064988381942597)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.029565092371715552)	(7, 0.0)	(8, 0.0009599055964842711)	(9, 0.0)	(10, 0.0)	(11, 0.00014931864834199772)	(12, 0.0008319181836197017)	(13, 0.0)	(14, 0.0018131550155814009)	(15, 0.000511949651458278)	(16, 0.0)	(17, 0.0011518867157811253)	(18, 0.0002773060612065672)	(19, 0.0)	(20, 0.0)	(21, 0.00025597919401111076)	(22, 0.00017066371759762657)	(23, 0.00010666989805344502)	(24, 4.267051725414368e-05)	(25, 0.00027738008112300526)	(26, 0.00023473712536221537)	(27, 0.0011315639516177416)	(28, 0.0007905153540515299)	(29, 0.00034212341032891955)	(30, 0.0008560555443079368)	(31, 0.0006853726274594972)	(32, 0.00019297680225860048)	(33, 0.0005800820450856954)	(34, 0.0010360942871703682)	(35, 0.0007160153097091676)	(36, 0.00034971630357735734)	(37, 0.0005290497935052525)	(38, 6.677637282762547e-05)	(39, 0.00013513142206452887)	(40, 0.00036534710143885105)	(41, 0.00046351295541886047)	(42, 0.0008708230501683513)	(43, 0.0003106173304399727)	(44, 0.0002184651078453005)	(45, 0.0002959235787222069)	(46, 0.0003253693755836313)	(47, 0.0004568096616258566)	(48, 0.0002058384003886229)	(49, 0.0002873161666277049)	(50, 0.0008501865096655579)	(51, 0.0005140438122246653)	(52, 0.0007708608009849399)	(53, 0.0003636418564084604)	(54, 0.0003693152440832857)	(55, 0.0008658445953258822)	(56, 0.0011995641778538217)	(57, 0.0008298548583852683)	(58, 0.00018009354058497984)	(59, 0.0011862111169880945)	(60, 0.0004319297262676212)	(61, 0.0012839499059115246)	(62, 0.0004767869896909117)	(63, 0.0007742979537240827)	(64, 0.0005235487310978457)	(65, 0.000265360209899926)	(66, 0.0012102894777096616)	(67, 0.00040829755909511733)	(68, 0.0005855722573776076)	(69, 6.970693462012335e-05)	(70, 0.0003181850161019295)	(71, 0.0003962007945626844)	(72, 0.002164146803779048)	(73, 0.0013019773781430548)	(74, 0.0009693946793497505)	(75, 0.00011721240763662278)
203fDMSOw1_S00_L002_R1_001	(1, 0.00334359135581761)	(2, 0.00030396285052887364)	(3, 2.1711632180633833e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.3423264361267666e-05)	(11, 0.0008467536550447195)	(12, 0.0005645024366964797)	(13, 0.0016500840457281713)	(14, 0.0006947722297802827)	(15, 0.0005862140688771135)	(16, 0.0005862140688771135)	(17, 0.0001954046896257045)	(18, 0.0001954046896257045)	(19, 0.0)	(20, 2.1711632180633833e-05)	(21, 0.00026054490361141294)	(22, 0.00021713305761777678)	(23, 0.0004777159618148603)	(24, 0.000260587733918208)	(25, 0.0)	(26, 0.00017376054970887506)	(27, 0.00036942331065436385)	(28, 8.698061158677425e-05)	(29, 0.00047878513929274294)	(30, 0.00039207033393283793)	(31, 0.000479562987328638)	(32, 0.00032734059985819607)	(33, 0.0003061331145502008)	(34, 0.0003954529067216668)	(35, 0.00024291789441419133)	(36, 0.00037816939319384074)	(37, 4.487066591433517e-05)	(38, 0.0002718613325962871)	(39, 0.0012836420224972018)	(40, 6.971058720248394e-05)	(41, 0.0009196829121971649)	(42, 0.0005986469620821804)	(43, 0.00021877816768908995)	(44, 0.0004445221535023901)	(45, 0.0006272228778792039)	(46, 0.00015276808124817633)	(47, 0.0004130396621335564)	(48, 0.000523396750700632)	(49, 0.000557840932455026)	(50, 5.403236809010438e-05)	(51, 0.00022007732416784638)	(52, 0.00041999689202299904)	(53, 0.000682857794010825)	(54, 0.00017336926700340757)	(55, 0.00011739989750988948)	(56, 0.00029759398241160044)	(57, 0.0009042910418517951)	(58, 0.0005188900392647146)	(59, 0.00024744398100248836)	(60, 0.0002509396907231047)	(61, 0.0004138792166730924)	(62, 0.00042003271731765816)	(63, 0.00013115833466950886)	(64, 0.00026606686326790635)	(65, 0.0005394730764160242)	(66, 0.0005808605756943333)	(67, 0.0)	(68, 0.00024497838065790697)	(69, 0.00046040825462418116)	(70, 0.0006824413585324205)	(71, 0.0010611947076390284)	(72, 0.0006443936426397547)	(73, 0.0003306216844844203)	(74, 0.001502554082879847)	(75, 0.0007143605520578347)
