Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
201fDMSOw1_S00_L001_R1_001	(1, 31.124073231920743)	(2, 31.199884741432662)	(3, 31.31735993216414)	(4, 31.41147779712835)	(5, 31.341810378372724)	(6, 34.839899773463465)	(7, 34.84789882201975)	(8, 34.75478244254903)	(9, 34.88713352722898)	(10, 34.73632709906989)	(11, 34.9311337371445)	(12, 34.81289086001511)	(13, 34.90747892274345)	(14, 34.84590527448485)	(15, 34.81245071981364)	(16, 34.84335005671131)	(17, 34.829407896885336)	(18, 34.81658924000996)	(19, 34.8190918164305)	(20, 34.78948787924723)	(21, 34.78132503321812)	(22, 34.759359224588245)	(23, 34.73593407589812)	(24, 34.7319375127671)	(25, 34.716593057168375)	(26, 34.67158102357529)	(27, 34.61870566552521)	(28, 34.600855032465866)	(29, 34.595834145667155)	(30, 34.58721025874022)	(31, 34.56249385345192)	(32, 34.5443594736688)	(33, 34.52957014215474)	(34, 34.52688434095053)	(35, 34.51337445836311)	(36, 34.502137286410175)	(37, 34.49942328989102)	(38, 34.47877676176726)	(39, 34.471195280428766)	(40, 34.48496469346945)	(41, 34.43622267260602)	(42, 34.44507300430499)	(43, 34.42273171211716)	(44, 34.398207816696846)	(45, 34.3699446659294)	(46, 34.32332785288603)	(47, 34.31021602546142)	(48, 34.264909188040875)	(49, 34.2340084826544)	(50, 34.1876184590163)	(51, 34.12487065881324)	(52, 34.083149642929385)	(53, 34.015122964580456)	(54, 33.96323698124295)	(55, 33.90737156346664)	(56, 33.839193453595044)	(57, 33.81837252997667)	(58, 33.79401066727975)	(59, 33.74665780575391)	(60, 33.69883904851767)	(61, 33.67461070230771)	(62, 33.61806214767074)	(63, 33.605244541261705)	(64, 33.57807935485926)	(65, 33.56353362638483)	(66, 33.51409597547229)	(67, 33.48026686338404)	(68, 33.460464458575586)	(69, 33.44570778693195)	(70, 33.44599290941149)	(71, 33.419115406136264)	(72, 33.44723284730898)	(73, 33.50533744464216)	(74, 33.57659565799915)	(75, 33.86217725577158)
201fDMSOw1_S00_L002_R1_001	(1, 31.114058765988535)	(2, 31.17370355707548)	(3, 31.2869983069832)	(4, 31.390670570522232)	(5, 31.306734719762048)	(6, 34.804197537144134)	(7, 34.79666061722995)	(8, 34.70983318480254)	(9, 34.85731372213709)	(10, 34.68629057977877)	(11, 34.889206122703726)	(12, 34.758631658242855)	(13, 34.85815203150303)	(14, 34.80429157504107)	(15, 34.768753951013956)	(16, 34.796516883149046)	(17, 34.7899904523089)	(18, 34.778134984205984)	(19, 34.77636516421326)	(20, 34.75098781623589)	(21, 34.738241352935695)	(22, 34.71899903025618)	(23, 34.69568837998499)	(24, 34.694099971665615)	(25, 34.66702011012372)	(26, 34.62602316586804)	(27, 34.58156469948552)	(28, 34.5703202585985)	(29, 34.554913829455785)	(30, 34.542118478560994)	(31, 34.520780391366536)	(32, 34.50532456941435)	(33, 34.47964972161909)	(34, 34.48834847730497)	(35, 34.4754282383172)	(36, 34.46169523033145)	(37, 34.451745212197)	(38, 34.432153626746704)	(39, 34.429050832413076)	(40, 34.44395503445739)	(41, 34.39937996803455)	(42, 34.419003633614636)	(43, 34.400633910247436)	(44, 34.374526311667495)	(45, 34.349825174789856)	(46, 34.30583092175396)	(47, 34.29087559798764)	(48, 34.24192183028522)	(49, 34.21705907911475)	(50, 34.162512594030794)	(51, 34.10780533792494)	(52, 34.06454560639172)	(53, 34.01668607982121)	(54, 33.94128211498751)	(55, 33.8823975617748)	(56, 33.8292117937698)	(57, 33.80131087091534)	(58, 33.75485254761517)	(59, 33.724789640272206)	(60, 33.670009119216544)	(61, 33.658057076903994)	(62, 33.631143920787466)	(63, 33.58706276315016)	(64, 33.54500085382886)	(65, 33.534915132315135)	(66, 33.49557693171707)	(67, 33.46005252117582)	(68, 33.43704301849079)	(69, 33.42973854451022)	(70, 33.41936013987253)	(71, 33.402949248140736)	(72, 33.421351269395565)	(73, 33.484445266394275)	(74, 33.559018642593685)	(75, 33.81899106207345)
201fDMSOw1_S00_L003_R1_001	(1, 31.090223399776388)	(2, 31.13779079782879)	(3, 31.241386557835654)	(4, 31.349059490133975)	(5, 31.27561402015174)	(6, 34.71108844537354)	(7, 34.73668018407801)	(8, 34.61795731672844)	(9, 34.794700075091804)	(10, 34.63739372248491)	(11, 34.833336936054906)	(12, 34.709215307287764)	(13, 34.81084630922791)	(14, 34.74336977292212)	(15, 34.69864941173654)	(16, 34.729086700104354)	(17, 34.72032510294361)	(18, 34.70184663314029)	(19, 34.69940215883945)	(20, 34.660488941418414)	(21, 34.6608197442049)	(22, 34.635606144634075)	(23, 34.616827523126496)	(24, 34.61552197877588)	(25, 34.59693431006591)	(26, 34.554167040278735)	(27, 34.49838555376496)	(28, 34.485010910365716)	(29, 34.47702931757799)	(30, 34.464841365680826)	(31, 34.44288828103752)	(32, 34.42374488704193)	(33, 34.4038256100776)	(34, 34.40118914659047)	(35, 34.38574696310909)	(36, 34.38221039138529)	(37, 34.37390146610508)	(38, 34.34696431221898)	(39, 34.343009877174126)	(40, 34.36354004447869)	(41, 34.31097443205304)	(42, 34.30614488568972)	(43, 34.27980168891016)	(44, 34.252088575425546)	(45, 34.22949296327713)	(46, 34.192074504131085)	(47, 34.18004165173258)	(48, 34.13817043970049)	(49, 34.08302610509877)	(50, 34.02717998685329)	(51, 33.96403737456241)	(52, 33.91718385588454)	(53, 33.86715187452767)	(54, 33.790692709641014)	(55, 33.73239916301939)	(56, 33.67657519974479)	(57, 33.64501415812658)	(58, 33.6062979068492)	(59, 33.58569436211204)	(60, 33.54238672896788)	(61, 33.511735052213794)	(62, 33.48433793590423)	(63, 33.46547334585984)	(64, 33.4395654694078)	(65, 33.41164700189868)	(66, 33.378531286641156)	(67, 33.35380760575864)	(68, 33.33417730289924)	(69, 33.32311633186316)	(70, 33.297374427932866)	(71, 33.298559894219245)	(72, 33.31727591724757)	(73, 33.37423755764992)	(74, 33.43207807622648)	(75, 33.73323105287855)
201fDMSOw1_S00_L004_R1_001	(1, 31.077908009790864)	(2, 31.093722301410907)	(3, 31.189357408222687)	(4, 31.30200915131265)	(5, 31.22716018445819)	(6, 34.70295839433118)	(7, 34.7121744194892)	(8, 34.60318134269507)	(9, 34.78744832034895)	(10, 34.59628946043191)	(11, 34.8030266522601)	(12, 34.67395221669604)	(13, 34.777786880364815)	(14, 34.712064614752315)	(15, 34.66350648174952)	(16, 34.69619111807038)	(17, 34.68226415990599)	(18, 34.68083876361931)	(19, 34.67364534859906)	(20, 34.64205239166076)	(21, 34.62618140599404)	(22, 34.61061571132574)	(23, 34.58434495316957)	(24, 34.58549804508467)	(25, 34.56638264745569)	(26, 34.51116465904943)	(27, 34.463339549217466)	(28, 34.4601445814212)	(29, 34.447162830295966)	(30, 34.43515888488039)	(31, 34.41512964239961)	(32, 34.386014968620216)	(33, 34.36285413077308)	(34, 34.37729445357163)	(35, 34.35565179047151)	(36, 34.34853059515156)	(37, 34.34176008681583)	(38, 34.314664717633306)	(39, 34.310648877053914)	(40, 34.32153918539881)	(41, 34.28240793487186)	(42, 34.28772831439893)	(43, 34.26864114754821)	(44, 34.23930047317753)	(45, 34.216858189134115)	(46, 34.18141277292815)	(47, 34.16298259551484)	(48, 34.125101939997826)	(49, 34.095675991048026)	(50, 34.02975700178717)	(51, 33.96412795366512)	(52, 33.92168245982318)	(53, 33.83557824157357)	(54, 33.784551319323036)	(55, 33.74826194899113)	(56, 33.678859179399)	(57, 33.64860134006611)	(58, 33.608850176276874)	(59, 33.598086075532926)	(60, 33.536128457955975)	(61, 33.5039014062239)	(62, 33.46327449243259)	(63, 33.44417392311423)	(64, 33.40546803565733)	(65, 33.4003672410192)	(66, 33.38147194061017)	(67, 33.35315728147369)	(68, 33.33723334781061)	(69, 33.32021582907108)	(70, 33.30419858426032)	(71, 33.29951242194988)	(72, 33.30959809765364)	(73, 33.37092061932316)	(74, 33.44748098847867)	(75, 33.73719380879252)
202fDMSOw1_S00_L001_R1_001	(1, 31.08370708450448)	(2, 31.22090808441665)	(3, 31.35488139849133)	(4, 31.45118947936219)	(5, 31.397401100539184)	(6, 34.89568964656443)	(7, 34.90324115575566)	(8, 34.81963901841996)	(9, 34.94352028669529)	(10, 34.80216806586036)	(11, 34.99062954240385)	(12, 34.8756243592364)	(13, 34.97013916809704)	(14, 34.9127108546551)	(15, 34.884820991716104)	(16, 34.91375319401104)	(17, 34.897105516328864)	(18, 34.886911376293476)	(19, 34.88819315821896)	(20, 34.86321512070656)	(21, 34.85312262146755)	(22, 34.83362590916224)	(23, 34.8102231701141)	(24, 34.80738968362828)	(25, 34.79622247174385)	(26, 34.75517197870036)	(27, 34.69814676653181)	(28, 34.68335689442387)	(29, 34.676289019606244)	(30, 34.66361394231525)	(31, 34.641521520318854)	(32, 34.63228103988225)	(33, 34.610326310273955)	(34, 34.60638159432544)	(35, 34.59716591126331)	(36, 34.588581976046214)	(37, 34.58401158575898)	(38, 34.56241979321831)	(39, 34.557115081960454)	(40, 34.56954740672433)	(41, 34.52705092310188)	(42, 34.53666834943396)	(43, 34.51909744149013)	(44, 34.495067619325795)	(45, 34.47167081250577)	(46, 34.42626606845231)	(47, 34.41671341837082)	(48, 34.37340908592152)	(49, 34.349888778547744)	(50, 34.304425799548774)	(51, 34.24501940039238)	(52, 34.1969800805833)	(53, 34.14436207800591)	(54, 34.09623423512123)	(55, 34.04139095010077)	(56, 33.97826163259421)	(57, 33.95980279812583)	(58, 33.92468802947901)	(59, 33.8865731072901)	(60, 33.838853095340255)	(61, 33.82174106768841)	(62, 33.77031477751775)	(63, 33.753456265968296)	(64, 33.734096045660756)	(65, 33.71877102634439)	(66, 33.67106344058057)	(67, 33.643810003612096)	(68, 33.63185981583387)	(69, 33.61531401403285)	(70, 33.61470590179321)	(71, 33.59642339734117)	(72, 33.624266685674314)	(73, 33.67562854552045)	(74, 33.736741189609035)	(75, 34.00521704544199)
202fDMSOw1_S00_L002_R1_001	(1, 31.09118510665805)	(2, 31.227033277310923)	(3, 31.35176770523594)	(4, 31.44921132514544)	(5, 31.385789062702003)	(6, 34.88894552036199)	(7, 34.88641489334195)	(8, 34.80359984486102)	(9, 34.9413992501616)	(10, 34.786690937298)	(11, 34.97540095669037)	(12, 34.85515314802844)	(13, 34.94841753070459)	(14, 34.89405869424693)	(15, 34.86974965740142)	(16, 34.895437983193275)	(17, 34.89095963800905)	(18, 34.87927229476406)	(19, 34.877962921784096)	(20, 34.84815906916613)	(21, 34.839230414238465)	(22, 34.821940180257705)	(23, 34.800472650679126)	(24, 34.79858389401837)	(25, 34.77543029048914)	(26, 34.73677517655306)	(27, 34.689513784786904)	(28, 34.68288651921459)	(29, 34.66780116637536)	(30, 34.6610782966008)	(31, 34.63546918068233)	(32, 34.616558188231274)	(33, 34.59600965207581)	(34, 34.600466626289425)	(35, 34.593503877222474)	(36, 34.579024246505256)	(37, 34.57006429036717)	(38, 34.553615773712856)	(39, 34.54848496601894)	(40, 34.56189262237355)	(41, 34.525618528426754)	(42, 34.54182090791268)	(43, 34.524645204703056)	(44, 34.493869089555275)	(45, 34.481050117269646)	(46, 34.439626058555845)	(47, 34.42828271649138)	(48, 34.38004030358165)	(49, 34.36155742809697)	(50, 34.313948123961424)	(51, 34.25320758916152)	(52, 34.21630786529673)	(53, 34.173550295996975)	(54, 34.10243085100461)	(55, 34.04626976063678)	(56, 34.001570377762334)	(57, 33.977911153362506)	(58, 33.93859647153258)	(59, 33.903391840620706)	(60, 33.85965770538312)	(61, 33.837681631025724)	(62, 33.819900007620284)	(63, 33.785200870842814)	(64, 33.74457267953381)	(65, 33.73583506982875)	(66, 33.705231699379326)	(67, 33.66591143929393)	(68, 33.64690086687019)	(69, 33.64708142633816)	(70, 33.63169156093236)	(71, 33.62216392773298)	(72, 33.63788751966254)	(73, 33.700236146047246)	(74, 33.76094481107542)	(75, 34.00151872707306)
202fDMSOw1_S00_L003_R1_001	(1, 31.082853763326046)	(2, 31.20199033451741)	(3, 31.309393529664224)	(4, 31.415175395358133)	(5, 31.35668730628372)	(6, 34.80235155885602)	(7, 34.827217393067784)	(8, 34.71995698251861)	(9, 34.883221444011674)	(10, 34.741301417457876)	(11, 34.92696671297854)	(12, 34.80975504371071)	(13, 34.90811480047198)	(14, 34.84279064011783)	(15, 34.80471847222964)	(16, 34.83545151179918)	(17, 34.82399873852912)	(18, 34.81497930451071)	(19, 34.80607161496002)	(20, 34.77840678876612)	(21, 34.77200877990051)	(22, 34.75095824846955)	(23, 34.733505859758985)	(24, 34.72873391610931)	(25, 34.71161606262688)	(26, 34.67659216865288)	(27, 34.62340153518874)	(28, 34.61065685560377)	(29, 34.600550252385496)	(30, 34.589998988335175)	(31, 34.56489954445107)	(32, 34.54908246130815)	(33, 34.53666933358776)	(34, 34.529342492926354)	(35, 34.51931877660898)	(36, 34.51237011718771)	(37, 34.50385973227425)	(38, 34.48486170706868)	(39, 34.47502105860308)	(40, 34.49569526284689)	(41, 34.450523848868606)	(42, 34.44769818274664)	(43, 34.42272822197749)	(44, 34.396863794260746)	(45, 34.37672496054824)	(46, 34.343497378815584)	(47, 34.33007707778375)	(48, 34.28810951847161)	(49, 34.24128798754503)	(50, 34.19151505260282)	(51, 34.13222805983019)	(52, 34.08552224308418)	(53, 34.04179506444389)	(54, 33.97905580511062)	(55, 33.91625489538415)	(56, 33.86704750793608)	(57, 33.83351811461499)	(58, 33.80595881930505)	(59, 33.77587043358433)	(60, 33.73450822897273)	(61, 33.72003516325318)	(62, 33.68472448171599)	(63, 33.67037110764226)	(64, 33.65264124505647)	(65, 33.627575226825435)	(66, 33.59192861576407)	(67, 33.57607520191563)	(68, 33.56223120439145)	(69, 33.55431885532209)	(70, 33.52837516024928)	(71, 33.520087668331186)	(72, 33.54120182328747)	(73, 33.58994640766579)	(74, 33.65090491810857)	(75, 33.915595630372096)
202fDMSOw1_S00_L004_R1_001	(1, 31.116783071678956)	(2, 31.215017199073568)	(3, 31.304876392604676)	(4, 31.406265817197188)	(5, 31.359535505184507)	(6, 34.84866822656279)	(7, 34.85602573890059)	(8, 34.76230845508628)	(9, 34.92283819433591)	(10, 34.758359212683295)	(11, 34.94147624237779)	(12, 34.826428952862884)	(13, 34.921977267685506)	(14, 34.86173882603034)	(15, 34.82428411275907)	(16, 34.847470753996)	(17, 34.83931376587506)	(18, 34.836094559775205)	(19, 34.828226800402874)	(20, 34.80198850909749)	(21, 34.789662275349016)	(22, 34.77529979064842)	(23, 34.74861233794221)	(24, 34.74506297638419)	(25, 34.73412995552522)	(26, 34.68659486320237)	(27, 34.63714854252738)	(28, 34.63738738692566)	(29, 34.623606343669294)	(30, 34.612187866018466)	(31, 34.59076575092376)	(32, 34.57389227841048)	(33, 34.551483931176996)	(34, 34.5605970080255)	(35, 34.543965741276644)	(36, 34.535651935432995)	(37, 34.530783363465915)	(38, 34.51030672362984)	(39, 34.500103621045945)	(40, 34.51496574200225)	(41, 34.47231896496076)	(42, 34.48706387053025)	(43, 34.466801915780266)	(44, 34.4431865437173)	(45, 34.41995040690023)	(46, 34.38388877216103)	(47, 34.369832437191675)	(48, 34.33692396761384)	(49, 34.30321515383395)	(50, 34.24666192995305)	(51, 34.18364505647471)	(52, 34.144713115442855)	(53, 34.07586568286804)	(54, 34.024879008685325)	(55, 33.98631215529425)	(56, 33.93210882898189)	(57, 33.90457761724287)	(58, 33.87178972394808)	(59, 33.856802864795455)	(60, 33.80551601938298)	(61, 33.77205723853114)	(62, 33.73363951311105)	(63, 33.7257902531043)	(64, 33.69139694735489)	(65, 33.68452810795858)	(66, 33.66927257132367)	(67, 33.649471453775114)	(68, 33.63408690102656)	(69, 33.61783257613312)	(70, 33.602371716335774)	(71, 33.60840389865043)	(72, 33.609698995623745)	(73, 33.66860942733119)	(74, 33.727625071389255)	(75, 33.99466519758467)
203fDMSOw1_S00_L001_R1_001	(1, 31.13443691191117)	(2, 31.253837222621947)	(3, 31.380306704769943)	(4, 31.464425152001052)	(5, 31.424384503198727)	(6, 34.91957057663236)	(7, 34.930481716891414)	(8, 34.83790607473057)	(9, 34.96376676341804)	(10, 34.83172001644212)	(11, 35.000621378889456)	(12, 34.89141206592802)	(13, 34.98146955574076)	(14, 34.92497335195408)	(15, 34.8987809412237)	(16, 34.9290446315573)	(17, 34.911268459784544)	(18, 34.891313302307765)	(19, 34.903236609690225)	(20, 34.88542246831832)	(21, 34.87078383602314)	(22, 34.85173056209589)	(23, 34.828334213004425)	(24, 34.82334704550405)	(25, 34.814432939098005)	(26, 34.77226166872915)	(27, 34.714702623926)	(28, 34.70841435225493)	(29, 34.69691971325782)	(30, 34.688393213705275)	(31, 34.66004875141171)	(32, 34.63728401875477)	(33, 34.62590014768459)	(34, 34.61964590182618)	(35, 34.60886079794482)	(36, 34.59655896643095)	(37, 34.58967978159061)	(38, 34.586603947329465)	(39, 34.57032284248046)	(40, 34.58531163080214)	(41, 34.54700786164324)	(42, 34.5484883688637)	(43, 34.52851467093439)	(44, 34.49981806711297)	(45, 34.47559752519111)	(46, 34.41946770070723)	(47, 34.40675981861611)	(48, 34.35448948989128)	(49, 34.33292734688334)	(50, 34.2868640870591)	(51, 34.220516678963136)	(52, 34.17641700045398)	(53, 34.10538956392628)	(54, 34.062046097360586)	(55, 33.99785588016711)	(56, 33.934458739088356)	(57, 33.91772759658621)	(58, 33.875893038844374)	(59, 33.8386403100695)	(60, 33.789225698090995)	(61, 33.772231984069)	(62, 33.717424561967846)	(63, 33.69648972022679)	(64, 33.669191480422384)	(65, 33.6600603031077)	(66, 33.61223770757725)	(67, 33.58312342869236)	(68, 33.55614001790473)	(69, 33.553877361104576)	(70, 33.551718322825565)	(71, 33.527530552484)	(72, 33.555933120401185)	(73, 33.607634469851085)	(74, 33.679401791645454)	(75, 33.95102513971719)
203fDMSOw1_S00_L002_R1_001	(1, 31.142500389723796)	(2, 31.250761101266093)	(3, 31.370671406171226)	(4, 31.45855488244671)	(5, 31.410148581383666)	(6, 34.90614387082795)	(7, 34.90465836095415)	(8, 34.81743296425006)	(9, 34.96718655893644)	(10, 34.809627632481124)	(11, 34.977125709916095)	(12, 34.863071900675365)	(13, 34.95295501827468)	(14, 34.899063707573845)	(15, 34.87267560693782)	(16, 34.90280635872914)	(17, 34.890019727189)	(18, 34.874756232649695)	(19, 34.8873633089917)	(20, 34.86224772711778)	(21, 34.84802242075744)	(22, 34.83715172671807)	(23, 34.812034837653655)	(24, 34.80198155256)	(25, 34.78871877976626)	(26, 34.75179717278554)	(27, 34.691885312750514)	(28, 34.69710263233774)	(29, 34.672804764695606)	(30, 34.672675507562275)	(31, 34.64269440284599)	(32, 34.61711646538493)	(33, 34.599167230461816)	(34, 34.59887322285111)	(35, 34.594041798219585)	(36, 34.57236315829281)	(37, 34.57139270694631)	(38, 34.55644418970031)	(39, 34.549389845979)	(40, 34.566408512871014)	(41, 34.52890374740131)	(42, 34.54162057085058)	(43, 34.52547477293257)	(44, 34.49323116238592)	(45, 34.46610964257328)	(46, 34.42067135460985)	(47, 34.40816811746848)	(48, 34.364393528408534)	(49, 34.33697045621294)	(50, 34.2860492478019)	(51, 34.222061596341874)	(52, 34.17978330960351)	(53, 34.13200039491942)	(54, 34.06690406698295)	(55, 33.997210578435165)	(56, 33.94526205084512)	(57, 33.923447543282386)	(58, 33.87925093033932)	(59, 33.85064497820173)	(60, 33.79492706594726)	(61, 33.78174652572275)	(62, 33.749236267434185)	(63, 33.71649962013267)	(64, 33.66958553101791)	(65, 33.66932188571465)	(66, 33.6302398749168)	(67, 33.597916580940996)	(68, 33.56954603756218)	(69, 33.57667656780521)	(70, 33.551555930379486)	(71, 33.53887064731779)	(72, 33.56461202385469)	(73, 33.62401082124774)	(74, 33.70134406053324)	(75, 33.95780867519454)
