Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
201fDMSOw1_S00_L001_R1_001	(17.0, 1.0)	(18.0, 5.0)	(19.0, 39.0)	(20.0, 272.0)	(21.0, 970.0)	(22.0, 2580.0)	(23.0, 5725.0)	(24.0, 11271.0)	(25.0, 21580.0)	(26.0, 37504.0)	(27.0, 61313.0)	(28.0, 93200.0)	(29.0, 135059.0)	(30.0, 188084.0)	(31.0, 260120.0)	(32.0, 367808.0)	(33.0, 576585.0)	(34.0, 1236383.0)	(35.0, 3156358.0)					
201fDMSOw1_S00_L002_R1_001	(18.0, 5.0)	(19.0, 49.0)	(20.0, 262.0)	(21.0, 892.0)	(22.0, 2520.0)	(23.0, 5374.0)	(24.0, 10733.0)	(25.0, 20240.0)	(26.0, 35796.0)	(27.0, 59177.0)	(28.0, 92318.0)	(29.0, 133879.0)	(30.0, 188397.0)	(31.0, 260924.0)	(32.0, 369482.0)	(33.0, 583271.0)	(34.0, 1236844.0)	(35.0, 2976151.0)						
201fDMSOw1_S00_L003_R1_001	(18.0, 8.0)	(19.0, 37.0)	(20.0, 269.0)	(21.0, 954.0)	(22.0, 2486.0)	(23.0, 5950.0)	(24.0, 12362.0)	(25.0, 23703.0)	(26.0, 41232.0)	(27.0, 67531.0)	(28.0, 103165.0)	(29.0, 147992.0)	(30.0, 203897.0)	(31.0, 277419.0)	(32.0, 386566.0)	(33.0, 603466.0)	(34.0, 1267523.0)	(35.0, 2869412.0)						
201fDMSOw1_S00_L004_R1_001	(18.0, 4.0)	(19.0, 35.0)	(20.0, 224.0)	(21.0, 830.0)	(22.0, 2316.0)	(23.0, 5636.0)	(24.0, 11844.0)	(25.0, 23122.0)	(26.0, 40676.0)	(27.0, 66694.0)	(28.0, 101688.0)	(29.0, 146551.0)	(30.0, 200808.0)	(31.0, 273077.0)	(32.0, 380347.0)	(33.0, 591402.0)	(34.0, 1241524.0)	(35.0, 2723536.0)						
202fDMSOw1_S00_L001_R1_001	(18.0, 6.0)	(19.0, 43.0)	(20.0, 182.0)	(21.0, 600.0)	(22.0, 1823.0)	(23.0, 4036.0)	(24.0, 8270.0)	(25.0, 15877.0)	(26.0, 28024.0)	(27.0, 46262.0)	(28.0, 71146.0)	(29.0, 103785.0)	(30.0, 144150.0)	(31.0, 198532.0)	(32.0, 281407.0)	(33.0, 443734.0)	(34.0, 945682.0)	(35.0, 2613672.0)						
202fDMSOw1_S00_L002_R1_001	(18.0, 2.0)	(19.0, 39.0)	(20.0, 200.0)	(21.0, 655.0)	(22.0, 1734.0)	(23.0, 3876.0)	(24.0, 7860.0)	(25.0, 14997.0)	(26.0, 26974.0)	(27.0, 44744.0)	(28.0, 69228.0)	(29.0, 102072.0)	(30.0, 142716.0)	(31.0, 196989.0)	(32.0, 281016.0)	(33.0, 442081.0)	(34.0, 937892.0)	(35.0, 2561300.0)						
202fDMSOw1_S00_L003_R1_001	(18.0, 5.0)	(19.0, 38.0)	(20.0, 180.0)	(21.0, 639.0)	(22.0, 1841.0)	(23.0, 4200.0)	(24.0, 8802.0)	(25.0, 17194.0)	(26.0, 30584.0)	(27.0, 49680.0)	(28.0, 77052.0)	(29.0, 110701.0)	(30.0, 152060.0)	(31.0, 208239.0)	(32.0, 291400.0)	(33.0, 454944.0)	(34.0, 960803.0)	(35.0, 2464092.0)						
202fDMSOw1_S00_L004_R1_001	(17.0, 2.0)	(18.0, 5.0)	(19.0, 28.0)	(20.0, 164.0)	(21.0, 627.0)	(22.0, 1712.0)	(23.0, 3897.0)	(24.0, 8490.0)	(25.0, 16604.0)	(26.0, 29883.0)	(27.0, 49598.0)	(28.0, 76404.0)	(29.0, 110646.0)	(30.0, 151320.0)	(31.0, 205288.0)	(32.0, 285236.0)	(33.0, 444671.0)	(34.0, 950115.0)	(35.0, 2547259.0)					
203fDMSOw1_S00_L001_R1_001	(18.0, 4.0)	(19.0, 48.0)	(20.0, 184.0)	(21.0, 690.0)	(22.0, 1853.0)	(23.0, 3990.0)	(24.0, 8251.0)	(25.0, 15275.0)	(26.0, 26991.0)	(27.0, 43691.0)	(28.0, 67070.0)	(29.0, 96359.0)	(30.0, 134212.0)	(31.0, 184823.0)	(32.0, 262853.0)	(33.0, 414165.0)	(34.0, 896254.0)	(35.0, 2531248.0)						
203fDMSOw1_S00_L002_R1_001	(18.0, 3.0)	(19.0, 36.0)	(20.0, 189.0)	(21.0, 739.0)	(22.0, 1817.0)	(23.0, 3963.0)	(24.0, 7842.0)	(25.0, 14742.0)	(26.0, 25799.0)	(27.0, 42435.0)	(28.0, 65545.0)	(29.0, 94749.0)	(30.0, 133475.0)	(31.0, 185082.0)	(32.0, 262273.0)	(33.0, 413969.0)	(34.0, 891265.0)	(35.0, 2461903.0)						
