Sample	Unique Reads	Duplicate Reads
201fDMSOw1_S00_L001_R1_001	3241630.0	2913227.0
201fDMSOw1_S00_L002_R1_001	3210062.0	2766252.0
201fDMSOw1_S00_L003_R1_001	3282410.0	2731562.0
201fDMSOw1_S00_L004_R1_001	3171092.0	2639222.0
202fDMSOw1_S00_L001_R1_001	2114701.0	2792530.0
202fDMSOw1_S00_L002_R1_001	2175498.0	2658877.0
202fDMSOw1_S00_L003_R1_001	2202251.0	2630203.0
202fDMSOw1_S00_L004_R1_001	2114917.0	2767032.0
203fDMSOw1_S00_L001_R1_001	2266642.0	2421319.0
203fDMSOw1_S00_L002_R1_001	2229931.0	2375895.0
203fDMSOw1_S00_L003_R1_001	2296450.0	2382595.0
203fDMSOw1_S00_L004_R1_001	2286501.0	2415240.0
204fTBTw1_S00_L001_R1_001	2155613.0	2315696.0
204fTBTw1_S00_L002_R1_001	2141929.0	2262206.0
204fTBTw1_S00_L003_R1_001	2185805.0	2239839.0
204fTBTw1_S00_L004_R1_001	2158739.0	2281647.0
205fTBTw1_S00_L001_R1_001	4079584.0	2197858.0
205fTBTw1_S00_L002_R1_001	4030728.0	2151300.0
205fTBTw1_S00_L003_R1_001	4151328.0	2173127.0
205fTBTw1_S00_L004_R1_001	4153567.0	2185848.0
206fTBTw1_S00_L001_R1_001	2962145.0	1741581.0
206fTBTw1_S00_L002_R1_001	2929720.0	1647672.0
206fTBTw1_S00_L003_R1_001	2962007.0	1643479.0
206fTBTw1_S00_L004_R1_001	2850303.0	1637364.0
213mDMSOw1_S00_L001_R1_001	7871102.0	8161126.0
213mDMSOw1_S00_L002_R1_001	7814689.0	8073116.0
213mDMSOw1_S00_L003_R1_001	8008622.0	7899795.0
213mDMSOw1_S00_L004_R1_001	7879866.0	7729092.0
214mDMSOw1_S00_L001_R1_001	3673333.0	12172179.0
214mDMSOw1_S00_L002_R1_001	3619780.0	12265643.0
214mDMSOw1_S00_L003_R1_001	3923708.0	11943633.0
214mDMSOw1_S00_L004_R1_001	3868316.0	11943498.0
215mDMSOw1_S00_L001_R1_001	7080289.0	11135430.0
215mDMSOw1_S00_L002_R1_001	7016054.0	11195109.0
215mDMSOw1_S00_L003_R1_001	7290045.0	11044844.0
215mDMSOw1_S00_L004_R1_001	7264167.0	11111483.0
217mTBTw1_S00_L001_R1_001	9014607.0	7172103.0
217mTBTw1_S00_L002_R1_001	8867288.0	7048813.0
217mTBTw1_S00_L003_R1_001	9053758.0	6900799.0
217mTBTw1_S00_L004_R1_001	8799141.0	6666148.0
218mTBTw1_S00_L001_R1_001	8551372.0	9425044.0
