Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
201fDMSOw1_S00_L001_R1_001	(1.0, 39.481700095044516)	(2.0, 17.439444721255942)	(3.0, 6.680219105866625)	(4.0, 2.812746518908135)	(5.0, 1.5221507203772242)	(6.0, 1.1756010879165504)	(7.0, 0.9640783632850595)	(8.0, 0.8906793390383474)	(9.0, 0.7471607208903966)	('>10', 11.213681855962502)	('>50', 5.180805442636742)	('>100', 10.752765460543198)	('>500', 1.0810141299135578)	('>1k', 0.05795243836125031)	('>5k', 0.0)	('>10k+', 0.0)
201fDMSOw1_S00_L002_R1_001	(1.0, 40.38099145721773)	(2.0, 17.74975357939482)	(3.0, 6.692569036888305)	(4.0, 2.774248630602298)	(5.0, 1.567752245568954)	(6.0, 1.227091185975178)	(7.0, 0.9832302658725525)	(8.0, 0.7993018377942989)	(9.0, 0.7565015552126226)	('>10', 10.881289004627032)	('>50', 4.820219274531398)	('>100', 10.311646041816136)	('>500', 1.0141848475097552)	('>1k', 0.04122103698895595)	('>5k', 0.0)	('>10k+', 0.0)
201fDMSOw1_S00_L003_R1_001	(1.0, 41.68001669684393)	(2.0, 16.973255603628363)	(3.0, 6.6918124401498735)	(4.0, 2.616964909851537)	(5.0, 1.5819797325679605)	(6.0, 1.1668269704379766)	(7.0, 0.9883639342685633)	(8.0, 0.808228993182236)	(9.0, 0.772736451943169)	('>10', 10.993578484105118)	('>50', 4.8258760647507835)	('>100', 9.989688142192778)	('>500', 0.8702302397105587)	('>1k', 0.04044133636720969)	('>5k', 0.0)	('>10k+', 0.0)
201fDMSOw1_S00_L004_R1_001	(1.0, 41.73902204440277)	(2.0, 17.126632646879216)	(3.0, 6.389041928188366)	(4.0, 2.571567765456558)	(5.0, 1.577192716958759)	(6.0, 1.1708201570591186)	(7.0, 0.9523447590584662)	(8.0, 0.8071581483777022)	(9.0, 0.7234890312625963)	('>10', 10.720339046099317)	('>50', 4.9371107001404075)	('>100', 10.276642456424726)	('>500', 0.9478037981025158)	('>1k', 0.060834801589568145)	('>5k', 0.0)	('>10k+', 0.0)
202fDMSOw1_S00_L001_R1_001	(1.0, 28.78768636576706)	(2.0, 16.830531946704717)	(3.0, 9.248824284950095)	(4.0, 4.29917408306551)	(5.0, 2.1565538086211324)	(6.0, 1.3384939214599303)	(7.0, 0.9910768791051522)	(8.0, 0.824781787207947)	(9.0, 0.7561312151141358)	('>10', 11.674522162070986)	('>50', 6.246905930851704)	('>100', 14.878347501628806)	('>500', 1.8619674163011846)	('>1k', 0.10500269715176304)	('>5k', 0.0)	('>10k+', 0.0)
202fDMSOw1_S00_L002_R1_001	(1.0, 30.563066784210406)	(2.0, 17.41967993433548)	(3.0, 9.017492255369824)	(4.0, 4.18106806634092)	(5.0, 2.020090493630317)	(6.0, 1.320146326013798)	(7.0, 1.0260148964708293)	(8.0, 0.8798262191598883)	(9.0, 0.7377024227859575)	('>10', 10.9480224136455)	('>50', 5.6979125395429815)	('>100', 14.347049863850994)	('>500', 1.7404811434784753)	('>1k', 0.10144664116467692)	('>5k', 0.0)	('>10k+', 0.0)
202fDMSOw1_S00_L003_R1_001	(1.0, 31.55884605140858)	(2.0, 16.684902852711307)	(3.0, 8.935411217625358)	(4.0, 4.0507820876834515)	(5.0, 2.078921664516752)	(6.0, 1.332025192912112)	(7.0, 0.9823906905468645)	(8.0, 0.8801674930971312)	(9.0, 0.7210385211396461)	('>10', 10.86153685960888)	('>50', 5.908733833061676)	('>100', 14.172767024754545)	('>500', 1.7318915966612254)	('>1k', 0.1005849142725049)	('>5k', 0.0)	('>10k+', 0.0)
202fDMSOw1_S00_L004_R1_001	(1.0, 29.180340895160796)	(2.0, 16.595688044266158)	(3.0, 9.250600615352052)	(4.0, 4.196477906119414)	(5.0, 2.129392202792806)	(6.0, 1.2836202665854062)	(7.0, 0.9906536797981335)	(8.0, 0.8634391847585016)	(9.0, 0.7675290875059861)	('>10', 11.272793172207036)	('>50', 6.093504786547674)	('>100', 15.225432145923302)	('>500', 2.0470877925393034)	('>1k', 0.10344022044341528)	('>5k', 0.0)	('>10k+', 0.0)
203fDMSOw1_S00_L001_R1_001	(1.0, 35.01438576914581)	(2.0, 17.016294467512953)	(3.0, 7.384651638707933)	(4.0, 3.1278908671136634)	(5.0, 1.6653684854640645)	(6.0, 1.2265992680052706)	(7.0, 0.9892126614276646)	(8.0, 0.8631332853283001)	(9.0, 0.7020869974495392)	('>10', 11.171161959628211)	('>50', 5.902520217615351)	('>100', 13.462840549543257)	('>500', 1.396825178195755)	('>1k', 0.07702865486220846)	('>5k', 0.0)	('>10k+', 0.0)
203fDMSOw1_S00_L002_R1_001	(1.0, 34.93012646315511)	(2.0, 17.169271754316764)	(3.0, 7.516874025706907)	(4.0, 3.112162758720629)	(5.0, 1.720063367781635)	(6.0, 1.3195970554640029)	(7.0, 0.994066123143586)	(8.0, 0.8774145187250436)	(9.0, 0.7448499535357292)	('>10', 11.115399107904416)	('>50', 5.76936130699178)	('>100', 13.36736989522979)	('>500', 1.308518470775351)	('>1k', 0.05492519854922594)	('>5k', 0.0)	('>10k+', 0.0)
