Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
201fDMSOw1_S00_L001_R1_001	(20, 501.0)	(22, 843.0)	(24, 1606.0)	(26, 9918.0)	(28, 14453.0)	(30, 16023.0)	(32, 59198.0)	(34, 109265.0)	(36, 150131.0)	(38, 182059.0)	(40, 201316.0)	(42, 216660.0)	(44, 212147.0)	(46, 185003.0)	(48, 189183.0)	(50, 186977.0)	(52, 178981.0)	(54, 168862.0)	(56, 139707.0)	(58, 139962.0)	(60, 139761.0)	(62, 136045.0)	(64, 124827.0)	(66, 110103.0)	(68, 109798.0)	(70, 189853.0)	(72, 821657.0)	(74, 2160018.0)
201fDMSOw1_S00_L002_R1_001	(20, 509.0)	(22, 732.0)	(24, 1457.0)	(26, 9467.0)	(28, 13756.0)	(30, 15453.0)	(32, 55923.0)	(34, 103731.0)	(36, 144027.0)	(38, 173213.0)	(40, 193316.0)	(42, 208399.0)	(44, 203702.0)	(46, 178210.0)	(48, 183204.0)	(50, 180635.0)	(52, 172948.0)	(54, 163025.0)	(56, 135232.0)	(58, 136206.0)	(60, 134845.0)	(62, 130867.0)	(64, 121094.0)	(66, 106441.0)	(68, 106525.0)	(70, 184882.0)	(72, 804056.0)	(74, 2114459.0)
201fDMSOw1_S00_L003_R1_001	(20, 465.0)	(22, 820.0)	(24, 1550.0)	(26, 9505.0)	(28, 13615.0)	(30, 15447.0)	(32, 56899.0)	(34, 104492.0)	(36, 145066.0)	(38, 175843.0)	(40, 195558.0)	(42, 210864.0)	(44, 206803.0)	(46, 180780.0)	(48, 185630.0)	(50, 183882.0)	(52, 176587.0)	(54, 165957.0)	(56, 136899.0)	(58, 138661.0)	(60, 138398.0)	(62, 133623.0)	(64, 124096.0)	(66, 108625.0)	(68, 108772.0)	(70, 188586.0)	(72, 807882.0)	(74, 2098667.0)
201fDMSOw1_S00_L004_R1_001	(20, 416.0)	(22, 695.0)	(24, 1323.0)	(26, 8518.0)	(28, 12216.0)	(30, 14002.0)	(32, 50921.0)	(34, 94060.0)	(36, 130737.0)	(38, 160655.0)	(40, 180723.0)	(42, 196810.0)	(44, 192782.0)	(46, 169389.0)	(48, 175553.0)	(50, 175160.0)	(52, 168543.0)	(54, 158001.0)	(56, 132586.0)	(58, 133982.0)	(60, 133808.0)	(62, 130173.0)	(64, 120284.0)	(66, 105399.0)	(68, 106095.0)	(70, 184820.0)	(72, 796948.0)	(74, 2075715.0)
202fDMSOw1_S00_L001_R1_001	(20, 241.0)	(22, 420.0)	(24, 759.0)	(26, 3661.0)	(28, 5431.0)	(30, 7050.0)	(32, 25430.0)	(34, 46295.0)	(36, 66943.0)	(38, 92337.0)	(40, 110600.0)	(42, 121297.0)	(44, 123070.0)	(46, 111453.0)	(48, 122855.0)	(50, 129615.0)	(52, 120842.0)	(54, 115158.0)	(56, 98225.0)	(58, 102590.0)	(60, 106306.0)	(62, 102095.0)	(64, 95470.0)	(66, 85812.0)	(68, 87416.0)	(70, 163854.0)	(72, 771151.0)	(74, 2090855.0)
202fDMSOw1_S00_L002_R1_001	(20, 185.0)	(22, 371.0)	(24, 711.0)	(26, 3471.0)	(28, 5213.0)	(30, 6723.0)	(32, 24572.0)	(34, 45352.0)	(36, 64948.0)	(38, 89414.0)	(40, 107477.0)	(42, 118479.0)	(44, 120163.0)	(46, 108706.0)	(48, 119856.0)	(50, 126980.0)	(52, 119248.0)	(54, 112877.0)	(56, 96609.0)	(58, 100272.0)	(60, 103292.0)	(62, 100251.0)	(64, 92796.0)	(66, 84402.0)	(68, 85266.0)	(70, 161401.0)	(72, 762714.0)	(74, 2072626.0)
202fDMSOw1_S00_L003_R1_001	(20, 200.0)	(22, 323.0)	(24, 706.0)	(26, 2934.0)	(28, 4559.0)	(30, 6115.0)	(32, 22353.0)	(34, 41267.0)	(36, 60337.0)	(38, 85597.0)	(40, 104013.0)	(42, 115116.0)	(44, 117964.0)	(46, 107581.0)	(48, 119404.0)	(50, 126700.0)	(52, 119192.0)	(54, 112393.0)	(56, 97271.0)	(58, 101481.0)	(60, 104922.0)	(62, 101982.0)	(64, 94915.0)	(66, 85655.0)	(68, 86980.0)	(70, 164671.0)	(72, 771171.0)	(74, 2076652.0)
202fDMSOw1_S00_L004_R1_001	(20, 209.0)	(22, 307.0)	(24, 610.0)	(26, 2948.0)	(28, 4487.0)	(30, 6100.0)	(32, 21859.0)	(34, 39631.0)	(36, 58169.0)	(38, 82441.0)	(40, 101033.0)	(42, 113000.0)	(44, 115334.0)	(46, 105742.0)	(48, 117523.0)	(50, 125813.0)	(52, 117457.0)	(54, 111684.0)	(56, 96624.0)	(58, 100947.0)	(60, 105198.0)	(62, 101872.0)	(64, 95487.0)	(66, 86027.0)	(68, 87773.0)	(70, 166341.0)	(72, 786410.0)	(74, 2130923.0)
203fDMSOw1_S00_L001_R1_001	(20, 380.0)	(22, 504.0)	(24, 984.0)	(26, 5602.0)	(28, 7897.0)	(30, 8821.0)	(32, 30990.0)	(34, 57646.0)	(36, 82530.0)	(38, 113210.0)	(40, 130543.0)	(42, 129203.0)	(44, 124192.0)	(46, 108915.0)	(48, 122664.0)	(50, 131577.0)	(52, 112275.0)	(54, 102120.0)	(56, 86306.0)	(58, 90334.0)	(60, 95209.0)	(62, 89992.0)	(64, 81572.0)	(66, 71352.0)	(68, 74600.0)	(70, 148503.0)	(72, 720054.0)	(74, 1959986.0)
203fDMSOw1_S00_L002_R1_001	(20, 355.0)	(22, 496.0)	(24, 938.0)	(26, 5311.0)	(28, 7713.0)	(30, 8630.0)	(32, 30640.0)	(34, 56403.0)	(36, 81325.0)	(38, 110508.0)	(40, 127423.0)	(42, 126792.0)	(44, 121770.0)	(46, 106329.0)	(48, 119708.0)	(50, 130030.0)	(52, 110634.0)	(54, 100538.0)	(56, 84059.0)	(58, 88207.0)	(60, 93020.0)	(62, 88234.0)	(64, 80071.0)	(66, 69297.0)	(68, 73273.0)	(70, 145983.0)	(72, 708092.0)	(74, 1930047.0)
