Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
201fDMSOw1_S00_L001_R1_001	201fDMSOw1_S00_L001_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6154857.0	0.0	20-75	46.0	52.667834671507094	62.039852185030455	70	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
201fDMSOw1_S00_L002_R1_001	201fDMSOw1_S00_L002_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5976314.0	0.0	20-75	46.0	53.713071038884074	62.16136785985476	70	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
201fDMSOw1_S00_L003_R1_001	201fDMSOw1_S00_L003_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6013972.0	0.0	20-75	46.0	54.579733092927455	62.06522311710131	70	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
201fDMSOw1_S00_L004_R1_001	201fDMSOw1_S00_L004_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5810314.0	0.0	20-75	45.0	54.57693926150075	62.460930510812325	70	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
202fDMSOw1_S00_L001_R1_001	202fDMSOw1_S00_L001_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4907231.0	0.0	20-75	45.0	43.09356508848051	65.1660049221241	72	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
202fDMSOw1_S00_L002_R1_001	202fDMSOw1_S00_L002_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4834375.0	0.0	20-75	45.0	45.000597695401005	65.2501432967033	72	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
202fDMSOw1_S00_L003_R1_001	202fDMSOw1_S00_L003_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4832454.0	0.0	20-75	44.0	45.572097311824386	65.42436306688072	72	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
202fDMSOw1_S00_L004_R1_001	202fDMSOw1_S00_L004_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4881949.0	0.0	20-75	44.0	43.321160813908364	65.65558929435764	72	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
203fDMSOw1_S00_L001_R1_001	203fDMSOw1_S00_L001_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4687961.0	0.0	20-75	44.0	48.350268764414906	64.3840523630636	72	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
203fDMSOw1_S00_L002_R1_001	203fDMSOw1_S00_L002_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4605826.0	0.0	20-75	44.0	48.41544131326018	64.41036092114639	72	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
203fDMSOw1_S00_L003_R1_001	203fDMSOw1_S00_L003_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4679045.0	0.0	20-75	44.0	49.079439726066205	64.33555105796161	72	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
203fDMSOw1_S00_L004_R1_001	203fDMSOw1_S00_L004_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4701741.0	0.0	20-75	44.0	48.63092518292989	64.54293686104785	72	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
204fTBTw1_S00_L001_R1_001	204fTBTw1_S00_L001_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4471309.0	0.0	20-75	43.0	48.209879584711594	65.72298906203977	72	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
204fTBTw1_S00_L002_R1_001	204fTBTw1_S00_L002_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4404135.0	0.0	20-75	43.0	48.634479886546636	65.79519372135505	72	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
204fTBTw1_S00_L003_R1_001	204fTBTw1_S00_L003_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4425644.0	0.0	20-75	43.0	49.38952126574552	65.68607822951869	72	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
204fTBTw1_S00_L004_R1_001	204fTBTw1_S00_L004_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4440386.0	0.0	20-75	43.0	48.61600792280723	65.9572489869124	72	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
