Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
201fDMSOw1_S00_L001_R1_001	47.332165328492906	46.0	62.039852185030455	70	9.090909090909092	6.154857
201fDMSOw1_S00_L002_R1_001	46.286928961115926	46.0	62.16136785985476	70	9.090909090909092	5.9763139999999995
201fDMSOw1_S00_L003_R1_001	45.420266907072545	46.0	62.06522311710131	70	9.090909090909092	6.013972
201fDMSOw1_S00_L004_R1_001	45.42306073849925	45.0	62.460930510812325	70	9.090909090909092	5.810314
202fDMSOw1_S00_L001_R1_001	56.90643491151949	45.0	65.1660049221241	72	27.27272727272727	4.9072309999999995
202fDMSOw1_S00_L002_R1_001	54.999402304598995	45.0	65.2501432967033	72	27.27272727272727	4.834375
202fDMSOw1_S00_L003_R1_001	54.427902688175614	44.0	65.42436306688072	72	18.181818181818183	4.832453999999999
202fDMSOw1_S00_L004_R1_001	56.678839186091636	44.0	65.65558929435764	72	18.181818181818183	4.881949
203fDMSOw1_S00_L001_R1_001	51.649731235585094	44.0	64.3840523630636	72	27.27272727272727	4.687961
203fDMSOw1_S00_L002_R1_001	51.58455868673982	44.0	64.41036092114639	72	27.27272727272727	4.6058259999999995
203fDMSOw1_S00_L003_R1_001	50.920560273933795	44.0	64.33555105796161	72	27.27272727272727	4.6790449999999995
203fDMSOw1_S00_L004_R1_001	51.36907481707011	44.0	64.54293686104785	72	27.27272727272727	4.701741
204fTBTw1_S00_L001_R1_001	51.790120415288406	43.0	65.72298906203977	72	27.27272727272727	4.471309
204fTBTw1_S00_L002_R1_001	51.365520113453364	43.0	65.79519372135505	72	27.27272727272727	4.404135
204fTBTw1_S00_L003_R1_001	50.61047873425448	43.0	65.68607822951869	72	27.27272727272727	4.425644
204fTBTw1_S00_L004_R1_001	51.38399207719277	43.0	65.9572489869124	72	27.27272727272727	4.440386
205fTBTw1_S00_L001_R1_001	35.012007385194295	48.0	58.29128281870227	58	9.090909090909092	6.277442
205fTBTw1_S00_L002_R1_001	34.799267607985385	48.0	58.33528997280504	58	9.090909090909092	6.182028
205fTBTw1_S00_L003_R1_001	34.36071350738837	48.0	58.31079539659939	58	9.090909090909092	6.3244549999999995
205fTBTw1_S00_L004_R1_001	34.48028916359051	48.0	58.51118147336939	60	9.090909090909092	6.339415
206fTBTw1_S00_L001_R1_001	37.025563519764106	45.0	59.83860093041134	64	9.090909090909092	4.703726
206fTBTw1_S00_L002_R1_001	35.99588821139503	45.0	59.970972990733586	64	9.090909090909092	4.577392
206fTBTw1_S00_L003_R1_001	35.685251731227424	45.0	59.96235815286378	64	9.090909090909092	4.605486
206fTBTw1_S00_L004_R1_001	36.48587573918232	44.0	60.425623714950326	64	18.181818181818183	4.487667
213mDMSOw1_S00_L001_R1_001	50.90450699983946	48.0	59.51358151842651	64	18.181818181818183	16.032228
213mDMSOw1_S00_L002_R1_001	50.813292668943596	48.0	59.769560647301496	64	18.181818181818183	15.887804999999998
213mDMSOw1_S00_L003_R1_001	49.65795936889962	48.0	59.47885917876053	64	9.090909090909092	15.908417
213mDMSOw1_S00_L004_R1_001	49.51702977452167	48.0	59.83345595522776	64	9.090909090909092	15.608958
214mDMSOw1_S00_L001_R1_001	76.81783511078268	48.0	62.2425878065663	70	18.181818181818183	15.845512
214mDMSOw1_S00_L002_R1_001	77.21319937308274	48.0	62.4369799595516	70	18.181818181818183	15.885423
214mDMSOw1_S00_L003_R1_001	75.27180423311721	48.0	62.20549293671826	70	18.181818181818183	15.867341
214mDMSOw1_S00_L004_R1_001	75.53528624962107	48.0	62.50469421155599	70	18.181818181818183	15.811814
215mDMSOw1_S00_L001_R1_001	61.130888044594066	47.0	60.9711069598735	68	18.181818181818183	18.215719
215mDMSOw1_S00_L002_R1_001	61.473883539566835	47.0	61.110260311216805	68	18.181818181818183	18.211163
215mDMSOw1_S00_L003_R1_001	60.23949483246469	47.0	60.90679962665713	68	18.181818181818183	18.334889
215mDMSOw1_S00_L004_R1_001	60.46852005536759	47.0	61.0925470935722	68	18.181818181818183	18.37565
217mTBTw1_S00_L001_R1_001	44.30859563019865	47.0	57.84652786143695	58	9.090909090909092	16.186709999999998
