"seqnames"	"start"	"end"	"width"	"strand"	"width"	"strand"	"Conc"	"Conc_mDMSOw1"	"Conc_mTBTw1"	"Fold"	"p.value"	"FDR"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"
"1"	"chr13"	45398446	45398845	400	"*"	401	"*"	5.9030301438262	6.66607727707354	4.18008057279436	1.6491558122282	2.10214571638329e-08	0.000409329813894154	"Intron (ENSMUST00000038275.10/218203, intron 2 of 6)"	13	45390927	45411045	20119	1	"218203"	"ENSMUST00000222178.1"	7519	"ENSMUSG00000038175"	"Mylip"	"myosin regulatory light chain interacting protein"
"2"	"chr6"	91826895	91827294	400	"*"	401	"*"	5.25659194308039	6.04634915514717	3.37410877193054	1.6448783002722	5.30183742641249e-08	0.00051618689183552	"Promoter (<=1kb)"	6	91761509	91827250	65742	2	"243547"	"ENSMUST00000162293.7"	0	"ENSMUSG00000030098"	"Grip2"	"glutamate receptor interacting protein 2"
"3"	"chr1"	157084700	157085099	400	"*"	401	"*"	6.05062062341494	6.8027591560356	4.38730331394279	1.51526232453848	5.10832253111202e-07	0.00331564187752711	"Distal Intergenic"	1	157099313	157108388	9076	2	"73435"	"ENSMUST00000119526.1"	23289	"ENSMUSG00000026592"	"Tex35"	"testis expressed 35"
"4"	"chr11"	65590221	65590620	400	"*"	401	"*"	5.76075041711328	6.50936809001329	4.11607263945831	1.48050345616759	1.01371607683709e-06	0.00415626359408421	"Distal Intergenic"	11	65691728	65697014	5287	2	"26398"	"ENSMUST00000140740.1"	106394	"ENSMUSG00000033352"	"Map2k4"	"mitogen-activated protein kinase kinase 4"
"5"	"chr11"	31801980	31802379	400	"*"	401	"*"	4.91192245951616	5.67317841185262	3.19896654443935	1.47314878072396	1.40416391920484e-06	0.00415626359408421	"Exon (ENSMUST00000129425.7/414116, exon 2 of 4)"	11	31790113	31824473	34361	2	"414116"	"ENSMUST00000129425.7"	22094	"ENSMUSG00000085772"	"D630024D03Rik"	"RIKEN cDNA D630024D03 gene"
"6"	"chr12"	100315580	100315979	400	"*"	401	"*"	6.21352822663661	6.87319517202083	4.96295816346806	1.33914287973816	1.66974204200971e-06	0.00415626359408421	"Intron (ENSMUST00000062957.7/104718, intron 19 of 19)"	12	100301610	100332909	31300	2	"104718"	"ENSMUST00000223255.1"	16930	"ENSMUSG00000033530"	"Ttc7b"	"tetratricopeptide repeat domain 7B"
"7"	"chr9"	47898241	47898640	400	"*"	401	"*"	5.60100356201176	6.32500349857979	4.07917704059057	1.43045706739089	1.769036453585e-06	0.00415626359408421	"Distal Intergenic"	9	48162023	48399871	237849	1	"244853"	"ENSMUST00000216998.1"	-263383	"ENSMUSG00000044229"	"Nxpe4"	"neurexophilin and PC-esterase domain family, member 4"
"8"	"chr7"	64855649	64856048	400	"*"	401	"*"	5.08829094274111	5.92495909277743	2.86450708419048	1.49630805589786	2.03324563247496e-06	0.00415626359408421	"Promoter (<=1kb)"	7	64819765	64856397	36633	2	"70638"	"ENSMUST00000144535.1"	349	"ENSMUSG00000030518"	"Entrep2"	"endosomal transmembrane epsin interactor 2"
"9"	"chr5"	128964584	128964983	400	"*"	401	"*"	4.25978314193986	5.09031950304366	2.08616191903951	1.49413366290545	2.06046673884526e-06	0.00415626359408421	"Distal Intergenic"	5	128760682	128953486	192805	2	"231760"	"ENSMUST00000200470.4"	-11098	"ENSMUSG00000029420"	"Rimbp2"	"RIMS binding protein 2"
"10"	"chr8"	47172900	47173299	400	"*"	401	"*"	5.40925154664605	6.18786094621754	3.59587104588156	1.46313579641148	2.45897564297837e-06	0.00415626359408421	"Distal Intergenic"	8	47191616	47220193	28578	2	"71069"	"ENSMUST00000209337.1"	46894	"ENSMUSG00000038143"	"Stox2"	"storkhead box 2"
"11"	"chr5"	144767280	144767679	400	"*"	401	"*"	6.02483797693152	6.69259253620682	4.74345688551107	1.34052009092367	2.53601966623821e-06	0.00415626359408421	"Promoter (<=1kb)"	5	144768092	144787907	19816	1	"100683"	"ENSMUST00000136379.1"	-413	"ENSMUSG00000045482"	"Trrap"	"transformation/transcription domain-associated protein"
"12"	"chr2"	3869499	3869898	400	"*"	401	"*"	5.77936878445635	6.37462198909281	4.74804878361753	1.22961357060111	2.83677300151623e-06	0.00415626359408421	"Intron (ENSMUST00000141222.1/ENSMUST00000141222.1, intron 1 of 1)"	2	3773946	3779625	5680	1	"66540"	"ENSMUST00000176254.1"	95553	"ENSMUSG00000026655"	"Fam107b"	"family with sequence similarity 107, member B"
"13"	"chr9"	67315268	67315667	400	"*"	401	"*"	4.56230306646523	5.33913258255573	2.75960772839968	1.4534267795099	2.97287211511383e-06	0.00415626359408421	"Intron (ENSMUST00000040025.13/70549, intron 31 of 57)"	9	67220911	67327664	106754	2	"70549"	"ENSMUST00000215267.1"	11997	"ENSMUSG00000052698"	"Tln2"	"talin 2"
