seqnames	start	end	width	strand	Conc	Conc_fTBTw1	Conc_mDMSOw1	Fold	p.value	FDR
1	chr7	82783739	82784139	401	*	5.16003872864549	3.2960146139793	6.13607581752212	-1.8205345294151	8.48447903455876e-09	0.000116542804018699
2	chr13	45398445	45398845	401	*	5.75707074070969	4.20781377627624	6.66607727707354	-1.66094425411074	2.10405191638125e-08	0.000144506285617065
3	chr9	47898240	47898640	401	*	5.37375341348057	3.6360157564119	6.32500349857979	-1.69363011533792	3.4270126566938e-08	0.000156911486174487
4	chr2	90961724	90962124	401	*	4.83232440573201	2.65976326058978	5.85917965522017	-1.70534439502878	1.26921444073202e-07	0.000390355181733697
5	chr1	58236043	58236443	401	*	4.02854554575479	1.33911523144646	5.11711715824407	-1.71117571976696	1.5014733022895e-07	0.000390355181733697
6	chr11	109608313	109608713	401	*	5.29157407754251	3.57662382751403	6.23806733060136	-1.64605381554327	1.70510417181289e-07	0.000390355181733697
7	chr17	27040881	27041281	401	*	5.38453540704843	3.80972573693631	6.29967392592057	-1.54613565498975	2.48851240872285e-07	0.000420961462656952
8	chr2	73002846	73003246	401	*	4.75213072510435	2.79973287952303	5.74404206114181	-1.62131348602245	2.86866604023313e-07	0.000420961462656952
9	chr1	157084699	157085099	401	*	5.91169762934671	4.43413455171102	6.8027591560356	-1.53040309719769	3.09471445251836e-07	0.000420961462656952
10	chr4	123640800	123641200	401	*	4.97049446026351	3.1208462998145	5.94383875817352	-1.59833665666472	3.57493765314207e-07	0.000420961462656952
11	chr7	44574198	44574598	401	*	3.89244505751158	1.12741193067614	4.98815801144116	-1.62944485788825	3.8102843462413e-07	0.000420961462656952
12	chr4	58838750	58839150	401	*	5.01494133692668	3.32811550706517	5.95543681104847	-1.55498621958683	3.94029620204106e-07	0.000420961462656952
13	chr11	31801979	31802379	401	*	4.74285015019704	3.10222661725418	5.67317841185262	-1.57096657084234	3.9840557764563e-07	0.000420961462656952
