"seqnames"	"start"	"end"	"width"	"strand"	"width"	"strand"	"Conc"	"Conc_mDMSOw1"	"Conc_mTBTw1"	"Fold"	"p.value"	"FDR"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"
"1"	"chr13"	45398446	45398845	400	"*"	401	"*"	5.9030301438262	6.66607727707354	4.18008057279436	1.77322501226396	2.21924080980903e-08	0.000406919994886584	"Intron (ENSMUST00000038275.10/218203, intron 2 of 6)"	13	45390927	45411045	20119	1	"218203"	"ENSMUST00000222178.1"	7519	"ENSMUSG00000038175"	"Mylip"	"myosin regulatory light chain interacting protein"
"2"	"chr6"	91826895	91827294	400	"*"	401	"*"	5.25659194308039	6.04634915514717	3.37410877193054	1.78413939070165	5.62592053968848e-08	0.00051578439507864	"Promoter (<=1kb)"	6	91761509	91827250	65742	2	"243547"	"ENSMUST00000162293.7"	0	"ENSMUSG00000030098"	"Grip2"	"glutamate receptor interacting protein 2"
"3"	"chr1"	157084700	157085099	400	"*"	401	"*"	6.05062062341494	6.8027591560356	4.38730331394279	1.6431782655725	5.26417469818951e-07	0.00321746357553343	"Distal Intergenic"	1	157099313	157108388	9076	2	"73435"	"ENSMUST00000119526.1"	23289	"ENSMUSG00000026592"	"Tex35"	"testis expressed 35"
"4"	"chr11"	65590221	65590620	400	"*"	401	"*"	5.76075041711328	6.50936809001329	4.11607263945831	1.6076044209337	1.04964165138017e-06	0.00356299421767164	"Distal Intergenic"	11	65691728	65697014	5287	2	"26398"	"ENSMUST00000140740.1"	106394	"ENSMUSG00000033352"	"Map2k4"	"mitogen-activated protein kinase kinase 4"
"5"	"chr11"	31801977	31802376	400	"*"	401	"*"	4.91192245951616	5.67317841185262	3.19896654443935	1.60531923118713	1.45234586035349e-06	0.00356299421767164	"Exon (ENSMUST00000129425.7/414116, exon 2 of 4)"	11	31790113	31824473	34361	2	"414116"	"ENSMUST00000129425.7"	22097	"ENSMUSG00000085772"	"D630024D03Rik"	"RIKEN cDNA D630024D03 gene"
"6"	"chr12"	100315580	100315979	400	"*"	401	"*"	6.21352822663661	6.87319517202083	4.96295816346806	1.42298305144815	1.73361874542024e-06	0.00356299421767164	"Intron (ENSMUST00000062957.7/104718, intron 19 of 19)"	12	100301610	100332909	31300	2	"104718"	"ENSMUST00000223255.1"	16930	"ENSMUSG00000033530"	"Ttc7b"	"tetratricopeptide repeat domain 7B"
"7"	"chr5"	128964612	128965011	400	"*"	401	"*"	4.25978314193986	5.09031950304366	2.08616191903951	1.67760600076738	1.81652272889101e-06	0.00356299421767164	"Distal Intergenic"	5	128760682	128953486	192805	2	"231760"	"ENSMUST00000200470.4"	-11126	"ENSMUSG00000029420"	"Rimbp2"	"RIMS binding protein 2"
"8"	"chr9"	47898241	47898640	400	"*"	401	"*"	5.60100356201176	6.32500349857979	4.07917704059057	1.54628090995519	1.85524341156854e-06	0.00356299421767164	"Distal Intergenic"	9	48162023	48399871	237849	1	"244853"	"ENSMUST00000216998.1"	-263383	"ENSMUSG00000044229"	"Nxpe4"	"neurexophilin and PC-esterase domain family, member 4"
"9"	"chr8"	47172872	47173271	400	"*"	401	"*"	5.40534671987357	6.18786094621754	3.56819621933987	1.62824425579885	1.91665008508328e-06	0.00356299421767164	"Distal Intergenic"	8	47191616	47220193	28578	2	"71069"	"ENSMUST00000209337.1"	46922	"ENSMUSG00000038143"	"Stox2"	"storkhead box 2"
"10"	"chr7"	64855649	64856048	400	"*"	401	"*"	5.08829094274111	5.92495909277743	2.86450708419048	1.68376509750729	1.94316874873017e-06	0.00356299421767164	"Promoter (<=1kb)"	7	64819765	64856397	36633	2	"70638"	"ENSMUST00000144535.1"	349	"ENSMUSG00000030518"	"Entrep2"	"endosomal transmembrane epsin interactor 2"
