seqnames	start	end	width	strand	Conc	Conc_mDMSOw1	Conc_mTBTw1	Fold	p.value	FDR
1	chr13	45398445	45398845	401	*	5.9030301438262	6.66607727707354	4.18008057279436	1.77322501226396	2.21924080980903e-08	0.000406919994886584
2	chr6	91826894	91827294	401	*	5.25659194308039	6.04634915514717	3.37410877193054	1.78413939070165	5.62592053968848e-08	0.00051578439507864
3	chr1	157084699	157085099	401	*	6.05062062341494	6.8027591560356	4.38730331394279	1.6431782655725	5.26417469818951e-07	0.00321746357553343
4	chr11	65590220	65590620	401	*	5.76075041711328	6.50936809001329	4.11607263945831	1.6076044209337	1.04964165138017e-06	0.00356299421767164
5	chr11	31801976	31802376	401	*	4.91192245951616	5.67317841185262	3.19896654443935	1.60531923118713	1.45234586035349e-06	0.00356299421767164
6	chr12	100315579	100315979	401	*	6.21352822663661	6.87319517202083	4.96295816346806	1.42298305144815	1.73361874542024e-06	0.00356299421767164
7	chr5	128964611	128965011	401	*	4.25978314193986	5.09031950304366	2.08616191903951	1.67760600076738	1.81652272889101e-06	0.00356299421767164
8	chr9	47898240	47898640	401	*	5.60100356201176	6.32500349857979	4.07917704059057	1.54628090995519	1.85524341156854e-06	0.00356299421767164
9	chr8	47172871	47173271	401	*	5.40534671987357	6.18786094621754	3.56819621933987	1.62824425579885	1.91665008508328e-06	0.00356299421767164
10	chr7	64855648	64856048	401	*	5.08829094274111	5.92495909277743	2.86450708419048	1.68376509750729	1.94316874873017e-06	0.00356299421767164
11	chr5	144767279	144767679	401	*	6.02483797693152	6.69259253620682	4.74345688551107	1.43004466410618	2.63311484398072e-06	0.0039474697875733
12	chr9	67315267	67315667	401	*	4.56230306646523	5.33913258255573	2.75960772839968	1.60669136577574	2.70724818463225e-06	0.0039474697875733
13	chr14	118423101	118423501	401	*	4.84192619254603	5.64411403828366	2.87758665213529	1.63144824432965	2.79870785550027e-06	0.0039474697875733
14	chr2	3869498	3869898	401	*	5.77936878445635	6.37462198909281	4.74804878361753	1.29238117428039	3.02700644307074e-06	0.00396451358143893
15	chr2	129109288	129109688	401	*	5.97947752222314	6.62917373039437	4.76578010647607	1.38841639313157	3.45005471419238e-06	0.00421734688262876
16	chr1	93449401	93449801	401	*	5.52041906140076	6.2200833233021	4.10873706432762	1.46615025019749	4.2615274669892e-06	0.00480163456844126
17	chr19	32240748	32241148	401	*	4.1743802880313	5.01702892766381	1.89971480150067	1.62304469510623	4.80938415959109e-06	0.00480163456844126
18	chr14	74392083	74392483	401	*	6.24788970352863	6.84481135622704	5.21140567932506	1.27537185897077	4.85220752262528e-06	0.00480163456844126
19	chr5	136982602	136983002	401	*	6.20340929195302	6.86496434381981	4.94572020538787	1.3923987196057	4.97551575045724e-06	0.00480163456844126
20	chr5	130309187	130309587	401	*	5.11325590440022	5.81910807152168	3.67452694305367	1.47664246087728	5.27859638902508e-06	0.00480286448675814
21	chr3	133075831	133076231	401	*	5.07775884518481	5.80167272926823	3.55634040832676	1.49921797373891	5.50066286114315e-06	0.00480286448675814
22	chr7	3413802	3414202	401	*	6.33873393291002	6.91029455125816	5.37820840999483	1.22418474432379	6.3309376812855e-06	0.00527654878745686
23	chr4	124480130	124480530	401	*	4.68090236852652	5.44942857559829	2.92686699009203	1.54203248100685	7.65108829068983e-06	0.00609958064774299
24	chr1	58236043	58236443	401	*	4.34776134359772	5.11711715824407	2.58894975994959	1.52375048993194	8.51267358456127e-06	0.00624424059485852
25	chr14	79293551	79293951	401	*	5.02807489913295	5.77510800593226	3.39169326598155	1.50870405092776	8.97389325847817e-06	0.00624424059485852
26	chr1	150465456	150465856	401	*	4.47189732127991	5.19681283510045	2.94572020538787	1.46056089056038	9.39036499455264e-06	0.00624424059485852
27	chr7	82783739	82784139	401	*	5.43578636952436	6.13607581752212	4.02139986005934	1.43953826660941	9.59186377055455e-06	0.00624424059485852
28	chr11	109608312	109608712	401	*	5.50298282069356	6.23806733060136	3.92738912592468	1.4955989294884	1.00627107822372e-05	0.00624424059485852
29	chr7	6914365	6914765	401	*	5.40614822192048	5.96954230519113	4.46898373929827	1.18589626784703	1.05706534291545e-05	0.00624424059485852
30	chr7	13031075	13031728	654	*	3.36886816146303	0	4.36886816146303	-1.30735250906445	1.07493183649482e-05	0.00624424059485852
31	chr19	61069504	61069904	401	*	5.36464566660657	6.02886578866233	4.09683186214238	1.3616865873046	1.08691675936293e-05	0.00624424059485852
32	chr19	9945360	9945760	401	*	4.31382371332436	5.07807448744959	2.58411245593268	1.51280755267549	1.08974530451283e-05	0.00624424059485852
33	chrX	71326955	71327355	401	*	6.6764754151213	7.28463453741031	5.60456008435249	1.28117006653768	1.20231230987593e-05	0.00639363300504899
34	chr6	84723995	84724395	401	*	6.15248185972865	6.79818240072464	4.95323049848803	1.3390041584456	1.20731339132533e-05	0.00639363300504899
35	chr17	34589702	34590102	401	*	6.81641143894954	7.39043282972893	5.84874555681787	1.2094437118736	1.25320494936269e-05	0.00639363300504899
36	chr15	50420907	50421307	401	*	6.46475325536021	7.07387767114279	5.38974033673195	1.27967278245528	1.25529443816407e-05	0.00639363300504899
37	chr2	87514898	87515298	401	*	7.01213808668215	7.58071907949085	6.06019527900748	1.20131180883784	1.55792068828763e-05	0.00724516729221888
38	chr3	41354115	41354515	401	*	4.30450590325231	5.03487223546148	2.75209436564831	1.43657674389553	1.56406426065853e-05	0.00724516729221888
39	chr7	55854576	55854976	401	*	7.18724705514702	7.77418264690549	6.18131153928348	1.23556635695961	1.6457308326491e-05	0.00724516729221888
40	chr17	27040885	27041285	401	*	5.61564170457604	6.29967392592057	4.26962300667743	1.38700423642295	1.68416538220317e-05	0.00724516729221888
