seqnames	start	end	width	strand	Conc	Conc_fTBTw1	Conc_mDMSOw1	Fold	p.value	FDR
1	chr7	82783739	82784139	401	*	5.16003872864549	3.2960146139793	6.13607581752212	-1.90539811594662	8.98302610572489e-09	0.000131206079300218
2	chr13	45398445	45398845	401	*	5.75707074070969	4.20781377627624	6.66607727707354	-1.74534913519706	2.20809061468283e-08	0.000161256857590287
3	chr9	47898240	47898640	401	*	5.37375341348057	3.6360157564119	6.32500349857979	-1.78530195974101	3.60749566307581e-08	0.000175636938849618
4	chr2	90961723	90962123	401	*	4.83232440573201	2.65976326058978	5.85917965522017	-1.82590441429545	1.25607696194449e-07	0.000419518621007305
5	chr1	58236043	58236443	401	*	4.02854554575479	1.33911523144646	5.11711715824407	-1.85419965480196	1.43611742094791e-07	0.000419518621007305
6	chr11	109608312	109608712	401	*	5.29157407754251	3.57662382751403	6.23806733060136	-1.75638164585393	1.78647294711889e-07	0.000434887064426974
7	chr17	27040885	27041285	401	*	5.38453540704843	3.80972573693631	6.29967392592057	-1.64750560221561	2.60273786736489e-07	0.000483218813123029
8	chr2	73002847	73003247	401	*	4.75213072510435	2.79973287952303	5.74404206114181	-1.73818635511263	3.02648709948547e-07	0.000483218813123029
9	chr1	157084699	157085099	401	*	5.91169762934671	4.43413455171102	6.8027591560356	-1.63317506003691	3.1861665187631e-07	0.000483218813123029
10	chr4	123640800	123641200	401	*	4.97049446026351	3.1208462998145	5.94383875817352	-1.71624013327532	3.68030304871379e-07	0.000483218813123029
11	chr4	58838752	58839152	401	*	5.01494133692668	3.32811550706517	5.95543681104847	-1.6657750366673	4.06000865776359e-07	0.000483218813123029
12	chr11	31801976	31802376	401	*	4.74285015019704	3.10222661725418	5.67317841185262	-1.68499779618441	4.11063227441833e-07	0.000483218813123029
13	chr12	103079806	103080206	401	*	4.6954017585003	2.72357478994996	5.69065229709211	-1.73079146623937	4.30086578844268e-07	0.000483218813123029
14	chrX	164980284	164980684	401	*	5.58541261590849	6.2702650885525	3.18910332942849	1.74038065536962	4.75306315282241e-07	0.000484194896676915
15	chr10	83957996	83958396	401	*	4.19087837423987	1.96592677331847	5.22518244034473	-1.7410019818532	5.20765631668403e-07	0.000484194896676915
16	chr4	118149288	118149688	401	*	4.16263965126445	1.83989439906337	5.2100507719901	-1.75435026958181	5.41366523158513e-07	0.000484194896676915
17	chr7	44574198	44574598	401	*	3.91106182281145	1.33468111534498	4.98815801144116	-1.75259089445189	5.89723149106456e-07	0.000484194896676915
18	chr6	91826894	91827294	401	*	5.14812423004614	3.64247406287391	6.04634915514717	-1.59710447842438	6.50930351252639e-07	0.000484194896676915
19	chrX	106186769	106187169	401	*	5.19057631947936	5.87753362338158	2.77030093988666	1.73609862197879	6.55885593874009e-07	0.000484194896676915
20	chr11	99370784	99371184	401	*	5.67614736484837	4.31316305245946	6.53608803724485	-1.54820879148544	6.63008211251424e-07	0.000484194896676915
21	chr13	46848255	46848655	401	*	4.20325477975449	2.07147148361012	5.22409413700079	-1.72399043471374	7.27205599565798e-07	0.00050578880891705
22	chr12	103158698	103159098	401	*	4.53744227106047	2.54737000808481	5.53578098596484	-1.69778695562181	7.92812482498083e-07	0.000519227696532436
23	chr15	59642282	59642682	401	*	4.5922771194186	2.94665229835367	5.52372524662452	-1.63320837863897	8.19673891733084e-07	0.000519227696532436
24	chrX	20364286	20364686	401	*	5.1686234703937	5.86810786253774	2.59602298189762	1.71924073225501	8.53174361000854e-07	0.000519227696532436
25	chr4	108678965	108679365	401	*	5.01218060373108	3.44447124753156	5.92562871770557	-1.59407846939813	1.03706915833495e-06	0.000601551614453376
26	chr14	79293551	79293951	401	*	4.80828874563295	2.99278491359937	5.77510800593226	-1.64335209221808	1.07081623824372e-06	0.000601551614453376
27	chr2	129109288	129109688	401	*	5.84966168851342	4.73745942802134	6.62917373039437	-1.40881154087243	1.24948861996089e-06	0.000675927066042546
28	chr2	155158720	155159120	401	*	5.90598635986092	4.54426196525524	6.76556698651023	-1.52328845607834	1.30712225351629e-06	0.000681850986959248
29	chrX	8206788	8207585	798	*	4.49736305439556	5.25108597389315	0.943494107239645	1.53532770129444	1.66722765077159e-06	0.000839707829902409
30	chr7	64855648	64856048	401	*	4.92909241159328	2.95364668847756	5.92495909277743	-1.64233488111279	2.11414189884123e-06	0.00100176426451957
31	chr11	65590220	65590620	401	*	5.65153097100777	4.2958877378683	6.50936809001329	-1.51324665637676	2.12615994797389e-06	0.00100176426451957
32	chr10	19868785	19869185	401	*	3.92314956997078	1.88573610895112	4.92929189335855	-1.63335100473103	2.46393767331096e-06	0.00111437826632319
33	chrX	7898847	7899764	918	*	4.71780658774835	5.44077420114344	1.80261449770236	1.63817238265546	2.61725742658986e-06	0.00111437826632319
34	chr14	118423101	118423501	401	*	4.68551111122407	2.91167305807096	5.64411403828366	-1.60523538222425	2.66424682871639e-06	0.00111437826632319
35	chr5	130258541	130258941	401	*	4.387441447288	2.58084751244108	5.35252749700403	-1.59797884431884	2.75530104280797e-06	0.00111437826632319
36	chrX	56597921	56598321	401	*	4.8046095553719	5.56534521275156	1.05205879921074	1.58602082345353	2.78669811805695e-06	0.00111437826632319
37	chr9	109899202	109899602	401	*	4.91418797377148	3.40050031425102	5.81443083694215	-1.53309633453752	2.84609266720216e-06	0.00111437826632319
38	chr3	133075831	133076231	401	*	4.926234121935	3.50763624379207	5.80167272926823	-1.51377667937396	2.98113268611629e-06	0.00111437826632319
39	chr5	72846543	72846943	401	*	4.96147970814825	3.34031646041377	5.88740496421138	-1.56526520910166	3.02774263515975e-06	0.00111437826632319
40	chr5	104072152	104072552	401	*	4.69760531858731	3.10203346011632	5.61762818011269	-1.5528773176108	3.08699360234304e-06	0.00111437826632319
41	chr18	46716558	46716958	401	*	5.55623698800414	4.19022932256026	6.41703999482233	-1.4641440163009	3.12813288506442e-06	0.00111437826632319
42	chr2	73584633	73585033	401	*	4.58593231820416	2.8910207665587	5.52816670109534	-1.5474167713043	3.32055217545877e-06	0.00115476154939883
43	chr17	26116176	26116576	401	*	4.73985555680272	3.35363271678583	5.60636521145523	-1.49092999510289	3.56490626398024e-06	0.00118403423466923
44	chrX	8219650	8220050	401	*	3.66102241101729	4.46837733307489	0	1.31920371372625	3.65057437203161e-06	0.00118403423466923
