seqnames	start	end	width	strand	Conc	Conc_mDMSOw1	Conc_mTBTw1	Fold	p.value	FDR
1	chr13	45398445	45398845	401	*	5.9030301438262	6.66607727707354	4.18008057279436	1.6491558122282	2.10214571638329e-08	0.000409329813894154
2	chr6	91826894	91827294	401	*	5.25659194308039	6.04634915514717	3.37410877193054	1.6448783002722	5.30183742641249e-08	0.00051618689183552
3	chr1	157084699	157085099	401	*	6.05062062341494	6.8027591560356	4.38730331394279	1.51526232453848	5.10832253111202e-07	0.00331564187752711
4	chr11	65590220	65590620	401	*	5.76075041711328	6.50936809001329	4.11607263945831	1.48050345616759	1.01371607683709e-06	0.00415626359408421
5	chr11	31801979	31802379	401	*	4.91192245951616	5.67317841185262	3.19896654443935	1.47314878072396	1.40416391920484e-06	0.00415626359408421
6	chr12	100315579	100315979	401	*	6.21352822663661	6.87319517202083	4.96295816346806	1.33914287973816	1.66974204200971e-06	0.00415626359408421
7	chr9	47898240	47898640	401	*	5.60100356201176	6.32500349857979	4.07917704059057	1.43045706739089	1.769036453585e-06	0.00415626359408421
8	chr7	64855648	64856048	401	*	5.08829094274111	5.92495909277743	2.86450708419048	1.49630805589786	2.03324563247496e-06	0.00415626359408421
9	chr5	128964583	128964983	401	*	4.25978314193986	5.09031950304366	2.08616191903951	1.49413366290545	2.06046673884526e-06	0.00415626359408421
10	chr8	47172899	47173299	401	*	5.40925154664605	6.18786094621754	3.59587104588156	1.46313579641148	2.45897564297837e-06	0.00415626359408421
11	chr5	144767279	144767679	401	*	6.02483797693152	6.69259253620682	4.74345688551107	1.34052009092367	2.53601966623821e-06	0.00415626359408421
12	chr2	3869498	3869898	401	*	5.77936878445635	6.37462198909281	4.74804878361753	1.22961357060111	2.83677300151623e-06	0.00415626359408421
13	chr9	67315267	67315667	401	*	4.56230306646523	5.33913258255573	2.75960772839968	1.4534267795099	2.97287211511383e-06	0.00415626359408421
14	chr14	118423101	118423501	401	*	4.84192619254603	5.64411403828366	2.87758665213529	1.46518460250715	2.98827497520434e-06	0.00415626359408421
15	chr2	129109288	129109688	401	*	5.97947752222314	6.62917373039437	4.76578010647607	1.30583697742998	3.28808023377647e-06	0.00426836655413969
